Channel,Port Type,Service,Type
3.1,10 GE(O),CTD_HNV_GOBINDAPUR_10.123.138.195/5.1-CTD_HNV_BARUIPUR_10.123.138.196/3.1,CPAN DL
4.1,10 GE(O),CTD_HNV_SITAKUNDU_10.123.138.197/3.1-CTD_HNV_BARUIPUR_10.123.138.196/4.1,CPAN DL
3.10,1GE(E),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.4-CTD_HNV_BARUIPUR_10.123.138.196/3.10,CPAN DL
3.11,1GE(E),-,Unbound
3.12,1GE(E),-,Unbound
3.7,1GE(E),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.3-CTD_HNV_BARUIPUR_10.123.138.196/3.7,CPAN DL
3.8,1GE(E),BARUIPUR DUTTAPARA,BTS 4G
3.9,1GE(E),BARUIPUR_10.123.138.196/3.9==Baruipur -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link
4.10,1GE(E),BARUIPUR_10.123.138.196/4.10==Baruipur -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link
4.11,1GE(E),BARUIPUR_10.123.138.196/4.11==Baruipur -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link
4.12,1GE(E),-,Unbound
4.7,1GE(E),-,Unbound
4.8,1GE(E),-,Unbound
4.9,1GE(E),CTD_HNV_BARUIPUR_10.123.138.196/4.9-CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.4,CPAN DL
1.10,E1,-,Unbound
1.11,E1,-,Unbound
1.12,E1,-,Unbound
1.13,E1,-,Unbound
1.14,E1,-,Unbound
1.15,E1,-,Unbound
1.16,E1,-,Unbound
1.17,E1,-,Unbound
1.18,E1,-,Unbound
1.19,E1,-,Unbound
1.2,E1,-,Unbound
1.5,E1,-,Unbound
1.6,E1,-,Unbound
1.7,E1,-,Unbound
1.8,E1,-,Unbound
1.9,E1,-,Unbound
2.10,E1,-,Unbound
2.11,E1,-,Unbound
2.12,E1,-,Unbound
2.13,E1,-,Unbound
2.14,E1,-,Unbound
2.15,E1,-,Unbound
2.16,E1,-,Unbound
2.17,E1,-,Unbound
2.18,E1,-,Unbound
2.19,E1,-,Unbound
2.2,E1,-,Unbound
2.5,E1,-,Unbound
2.6,E1,-,Unbound
2.7,E1,-,Unbound
2.8,E1,-,Unbound
2.9,E1,-,Unbound
3.2,GE(O),-,Unbound
3.3,GE(O),-,Unbound
3.4,GE(O),-,Unbound
3.5,GE(O),1000293230_WBSWAN_SDO(CIVIL)BRP_3702,LEASED CKT
3.5,GE(O),1000120482_SBI_BARUIPUR_138.196/3.5_138.65/3.8_3865,LEASED CKT
3.5,GE(O),1000122714_SBI_BARUIPUR_BZR_138.196/3.5_25.65/5.5_4030,LEASED CKT
3.5,GE(O),1000537505_CSR_BARUIPUR_138.199/3.5_141.173/1.4_413,LEASED CKT
3.5,GE(O),Baruipur(Nirala Road),BTS 2G
3.5,GE(O),BARUIPUR MADARHAT ROAD,BTS 3G
3.5,GE(O),Baruipur(Nirala Road),BTS 3G
3.5,GE(O),KHODAR BAZAR,BTS 3G
3.6,GE(O),PIYALI TOWN I,BTS 2G
3.6,GE(O),PIYALI TOWN I,BTS 3G
4.2,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.2-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.5,CPAN DL
4.3,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.3-CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/1.5,CPAN DL
4.4,GE(O),-,Unbound
4.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.5-CTD_HNV_BARUIPUR III BTS_10.123.138.211/1.5,CPAN DL
4.6,GE(O),-,Unbound
7.1,POWER PORT,-,Unbound
8.1,POWER PORT,-,Unbound
1.1,STM1,-,Unbound
1.2,STM1,-,Unbound
1.3,STM1,-,Unbound
1.4,STM1,-,Unbound
2.1,STM1,-,Unbound
2.2,STM1,-,Unbound
2.3,STM1,-,Unbound
2.4,STM1,-,Unbound
