id,advance_id,expense_date,category,vendor,invoice_no,amount,terminal_location,description,created_at,updated_at,spent_by_employee_id
02e49450-c369-45b4-bbd0-07095fc3e75f,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-19,Point To Point,UBER,,85.00,JDP TM,,2026-03-19 12:00:22.197591+00,2026-03-19 12:00:22.197591+00,5d2fa701-6000-4743-8d5b-b7e14f97ccd7
057bee66-2263-4eea-afbc-497f3376092d,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-09,Rental,OLA,CRN10558508559,1122.00,HNV TM,,2026-03-09 14:42:56.807696+00,2026-03-09 14:42:56.807696+00,25dfc234-cde4-4d49-966a-c038106b375b
05cfe2c6-0e02-4697-94fc-012fa1d83f96,5b71ead2-2006-4d93-8e8a-330003583d10,2026-05-19,Rental,Ola,,1177.00,HNV TM,,2026-05-19 10:13:28.046449+00,2026-05-19 10:15:03.633805+00,25dfc234-cde4-4d49-966a-c038106b375b
0b7d6ae7-02cf-45a6-b773-ceca53973681,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-02-12,Rental,Ola,10465955117,924.00,HNV TM,,2026-02-12 13:10:17.534898+00,2026-02-12 13:13:55.867464+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
0c1453db-8d95-411a-a27d-54181b57c04e,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-11,Point To Point,inDrive,IN19-g3B8ox-yaCU,220.00,HNV TM,,2026-03-11 09:28:26.162666+00,2026-03-11 09:28:26.162666+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
0d5af444-b035-4dd5-9429-95d3ddb80bd7,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-18,Rental,OLA,CRN10592767395,924.00,HNV TM,,2026-03-18 09:21:28.070507+00,2026-03-18 10:25:39.683506+00,436e1759-9f21-4071-a391-bea46f81b60a
0f89bf7f-9182-4b2b-8af4-2e78f7847519,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-03-07,Rental,OLA,,924.00,HNV TM,,2026-03-07 11:14:30.913037+00,2026-03-07 11:14:30.913037+00,25dfc234-cde4-4d49-966a-c038106b375b
13fbd29d-04cb-4984-9013-3f25d17f58db,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-13,Point To Point,INDRIVE,,176.00,HNV TM,,2026-03-13 12:33:04.819746+00,2026-03-13 12:33:04.819746+00,436e1759-9f21-4071-a391-bea46f81b60a
14138aea-908e-4124-bc81-2bbdbb004cb8,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-03-06,Point To Point,Uber,,330.00,HNV TM,,2026-03-06 08:51:20.6386+00,2026-03-06 08:51:20.6386+00,436e1759-9f21-4071-a391-bea46f81b60a
152e2aee-6f67-4b01-93aa-5a93c99a3417,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-02-12,Point To Point,Uber,,164.62,HNV TM,Utilized for Prana Boral AT,2026-02-12 12:36:56.007213+00,2026-02-12 12:36:56.007213+00,436e1759-9f21-4071-a391-bea46f81b60a
16142b53-0f2f-4b2b-ab1f-7ee8b7c3af33,5b71ead2-2006-4d93-8e8a-330003583d10,2026-05-27,Rental,Ola,,413.00,HNV TM,,2026-05-27 11:54:28.451098+00,2026-05-27 11:54:28.451098+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
1cff9cd9-bf54-4151-8752-f11a626808bc,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-02-05,Point To Point,INDRIVE,"IN19-g255xH-pgBS ",220.00,HNV TM,For Baruipur,2026-02-05 11:13:55.615713+00,2026-02-05 11:13:55.615713+00,25dfc234-cde4-4d49-966a-c038106b375b
1f28a5b3-14a8-4f31-9ff8-494916128b8b,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-17,Point To Point,UBER,,35.50,KGT TM,,2026-03-17 10:12:22.045058+00,2026-03-17 10:12:22.045058+00,d5a6ed66-8e55-494f-bac8-574803a6d39e
241fac32-b28c-4f18-a567-11f6f5bc8437,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-02-27,Rental,OLA,,477.00,HNV TM,,2026-02-27 09:29:32.031784+00,2026-02-27 09:29:32.031784+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
243f66a6-6ebf-4129-a7c4-a0a49757aad3,391f2fad-c233-444f-ab05-4f51eef7ec33,2026-02-21,Point To Point,inDrive,IN19-g2L7C7-ooDw,170.00,HNV TM,AP Nagar Survey,2026-02-21 11:21:43.918636+00,2026-02-21 11:25:55.242385+00,436e1759-9f21-4071-a391-bea46f81b60a
264bbdc2-f2bd-4ef6-8458-67e9eac8f4b9,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-12,Point To Point,UBER,,150.55,JDP TM,,2026-03-12 22:46:11.762335+00,2026-03-12 22:46:11.762335+00,5d2fa701-6000-4743-8d5b-b7e14f97ccd7
2c328370-4305-4c9d-88d4-cd0c660433f3,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-23,Point To Point,UBER,,127.04,RUSSA TM,,2026-03-25 06:56:42.454152+00,2026-03-25 06:56:42.454152+00,1afa34bf-fdbc-413a-bb1f-81cbb33e2b14
2f1a658d-3731-46c1-ba17-ebf90d5808c6,5b71ead2-2006-4d93-8e8a-330003583d10,2026-05-13,Point To Point,"Uber ",,163.00,HNV TM,,2026-05-18 09:35:42.305084+00,2026-05-18 09:35:42.305084+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
358ecde7-f998-4d8c-996e-2bd2e6d3ceb1,5b71ead2-2006-4d93-8e8a-330003583d10,2026-05-23,Point To Point,"Uber ",,176.00,HNV TM,,2026-05-23 11:10:41.914435+00,2026-05-23 11:10:41.914435+00,25dfc234-cde4-4d49-966a-c038106b375b
381c8aaa-1779-4010-8d0a-1be9886a3a32,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-16,Point To Point,INDRIVE,IN19-g3G7qi-haPe,121.00,JDP TM,,2026-03-17 04:24:14.721804+00,2026-03-17 04:24:14.721804+00,8a514d32-f409-4310-87f7-804296f6d313
3888efa2-cf25-4f2d-83b2-62362d2b9e75,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-12,Point To Point,INDRIVE,IN19-g3CHv7-9AHs,112.00,JDP TM,,2026-03-17 04:25:19.315292+00,2026-03-17 04:25:19.315292+00,d4d9463f-ddc9-4412-bab6-416aa370c4d5
3911b424-e72e-4529-a8d7-46d75ef30c17,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-18,Rental,UBER,,550.00,HNV TM,,2026-03-18 10:25:28.405169+00,2026-03-18 10:25:28.405169+00,25dfc234-cde4-4d49-966a-c038106b375b
394352d8-d9de-41f5-b39f-0f89703d089b,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-11,Point To Point,inDrive," IN19-g3B5vP-bNAP",180.00,HNV TM,,2026-03-11 06:33:36.717624+00,2026-03-11 06:33:36.717624+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
3c53782c-a1ca-409e-9639-3d2eac70945b,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-19,Rental,OLA,CRN10598201579,925.00,HNV TM,,2026-03-21 04:48:27.313895+00,2026-03-21 04:48:27.313895+00,6e741c80-4fa4-4226-bccb-61a22ea65bef
3cc7ac8d-e7d1-4959-8a69-6c1332d5e8ee,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-02,Point To Point,UBER,,52.76,KGT TM,,2026-03-10 07:50:46.509542+00,2026-03-10 07:53:23.969518+00,d5a6ed66-8e55-494f-bac8-574803a6d39e
4116645d-5935-453c-a5f1-2db8b8a74adf,ba7a4119-bfcf-4d67-80f9-0e79a5ff5380,2026-03-13,Point To Point,UBER,,77.93,JDP TM,,2026-03-12 22:57:43.216294+00,2026-03-12 22:57:43.216294+00,8a514d32-f409-4310-87f7-804296f6d313
