id,jc_id,incoming_segment_id,incoming_fiber_no,outgoing_segment_id,outgoing_fiber_no,splice_type_id,logical_path_id,loss_db,created_at,updated_at
00035c98-ca8b-4c45-8d51-33457899b23e,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,44,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,44,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:05:31.311563+00,
011224e4-1b76-4490-89c6-d1dfdbf0bd90,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,2,984b6447-7128-4563-ad05-1d8d9f411f04,26,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:47:19.907734+00,
03baae65-a6f4-49b8-99cd-4ab5ac2c35a1,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,12,984b6447-7128-4563-ad05-1d8d9f411f04,36,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:48:08.479504+00,
053965e6-6fd2-4130-84f9-549fd97fa6e6,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,4,8dbe964e-1b6a-413f-9109-b3682af33722,4,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:11:40.004251+00,
08ba2bcd-f301-4e4a-9e1a-56a74907ff03,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,63,e5e0c301-653a-4480-849e-fda995588efa,15,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:58:49.899055+00,
08d4cf98-73a5-47d2-9745-3506c7f3edbb,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,3,8dbe964e-1b6a-413f-9109-b3682af33722,3,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:11:35.71611+00,
09154f01-5df1-4e1f-9247-ac70143b1344,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,18,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,18,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:03:20.03461+00,
09b461e8-5591-4dd8-8c15-388598a04bd7,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,87,e5e0c301-653a-4480-849e-fda995588efa,3,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:52:49.67904+00,
0cf3e0c1-f76a-45e4-aa7d-e308e901c815,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,18,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,18,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:30.282734+00,
1017c002-f1f0-43b7-846c-a13aae57d5ab,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,22,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,22,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:45.643352+00,
13d1b83d-a541-455b-a5a6-c9bc70865da3,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,5,984b6447-7128-4563-ad05-1d8d9f411f04,29,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:47:32.196804+00,
13eca860-d519-49cf-a748-dd144578c142,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,1,8dbe964e-1b6a-413f-9109-b3682af33722,1,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:10:01.480117+00,
13f198f6-faaf-4d06-b457-44df544af15d,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,86,e5e0c301-653a-4480-849e-fda995588efa,2,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:52:44.350511+00,
