id,route_name,sn_id,en_id,ofc_type_id,capacity,ofc_owner_id,current_rkm,transnet_id,transnet_rkm,asset_no,maintenance_terminal_id,commissioned_on,remark,status,created_at,updated_at
014f051c-3f12-4151-96ef-1c16a5e2c694,HNV PCM 1ST FLOOR-SONARPUR-02,45f1a024-b36f-465a-8896-125399380cb6,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,3.850,155069,4.110,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-06-23,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
01baa2f8-ef35-4da3-9831-4225724b92a7,PIYALI TOWN I BTS-BJC PURATAN BAZAR,5be02f7d-d7e7-403c-bf98-535c120b7c05,6ef43b78-0e7b-41c0-90d8-b26b4823b2ec,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,,170690,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
033cac80-8f67-40a6-b69a-7538c319645b,SHALIMAR CHEMICAL BTS-BJC BIRLA PLUS PIT,b1ba7120-8b78-4897-b040-faa5e5620c96,8200a942-e1c4-4246-b231-9cab7a28e96c,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.680,170700,0.680,,4bc2a086-b131-47e1-9c20-f10650c0196d,2010-11-15,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
04463b61-d009-47ae-a16f-472074b761a8,NDP III BTS-BJC DHAMAITALA,e1e3119d-5963-4202-9e63-3537e7ef7ffb,c03c5411-e3a6-404e-a7fe-ffcae2255379,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.000,170715,0.000,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-12-17 00:00:00+00
052df088-c96b-4230-94a0-96b1d4b52b68,MISSION – SONARPUR-01,376e5b44-4294-4b61-a411-2df818899fd0,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,,157051,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
05a13b7e-9cef-4e2e-9310-d7ba48c7ccf9,BARUIPUR SDO OFFICE- BJC BARUIPUR HOSPITAL-01,d21ea89a-7681-4e53-b10c-5da3c82d31fe,80ac669e-836b-415d-928b-c734784baa4a,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.900,173704,0.500,,4bc2a086-b131-47e1-9c20-f10650c0196d,2008-10-18,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
05bacdc8-61c9-48a9-96fc-93f67d67f59f,BARUIPUR PHULTALA BTS - BJC IFO ATANU TELECOM-01,26784392-9af2-47eb-9171-bb0b5d96ee27,b90a8dd4-d762-448e-ba85-bd122456ae99,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.200,233301,1.200,,4bc2a086-b131-47e1-9c20-f10650c0196d,2022-12-30,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
06421c4c-cd06-4432-8b58-624c21e23910,MADARHAT- SITAKUNDU-01,10bf798c-c44f-43ed-8513-41c633434f90,69b3cd60-ce89-43b4-ac1f-4671fc02d081,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,2.500,173805,2.490,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-06-23,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
07c84763-74b4-4da7-bc4c-0bed4abb3863,GREATER KOLKATA ENGINEERING COLLEGE AND MANAGEMENT – BJC ZILA STADIUM-01,f396b2bd-0ba3-4a11-a8a8-c2811f856cbe,ac5a2d13-e807-4050-a04c-376c566ae64f,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.050,170689,1.050,,4bc2a086-b131-47e1-9c20-f10650c0196d,2013-05-02,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
09ca69df-b6aa-4a9c-92b8-979460b66194,GOBINDAPUR BTS – BADE HOOGHLY BTS-01,3d9eeaab-d37e-404f-aa62-c8c7a75467b5,42cd6bb1-697d-4093-82d6-88a7d6e3c87f,aea6a03e-cf73-45a4-99e1-317f8f4cfc84,4,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.170,198620,1.170,990500621079,4bc2a086-b131-47e1-9c20-f10650c0196d,2018-02-04,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
09eae90e-1903-49fc-a132-154f2c5c6b8e,SITAKUNDU BTS- SITAKUNDU,ebd96b33-8ed2-479d-a8eb-dcdaf9fd31da,69b3cd60-ce89-43b4-ac1f-4671fc02d081,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.610,170313,0.610,,4bc2a086-b131-47e1-9c20-f10650c0196d,2015-06-16,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
0ae33087-10d4-4f73-ad64-cdf0a8207c98,HHC -BJC HHC-01,781a30c9-f5db-4af4-ac1d-f279ad2eff80,76007e7f-d3db-4dcb-b6d4-26ad641a4597,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.100,170679,0.160,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-02-09,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
0e748e06-0d6d-4627-95aa-2d82c15405ea,HNV PCM 1ST FLOOR – SONARPUR-03,45f1a024-b36f-465a-8896-125399380cb6,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,10.860,170321,10.860,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-02-09,HARINAVI-KAMALGAZI 24F & KAMALGAZI-SONARPUR & KAMALGAZI-FIEM & FIEM-SONARPUR,true,2025-08-19 00:00:00+00,2025-12-29 17:45:14.466502+00
0ebd0921-9f37-4dcb-b7ca-3093bbe47583,AP NAGAR – HNV PCM 1ST FLOOR-01 (C2),54bc2231-880b-4ba6-ba6e-4d3cb594052b,45f1a024-b36f-465a-8896-125399380cb6,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,21.210,174474,9.520,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-02-09,AP Nagar - Sitakundu C2,true,2025-08-19 00:00:00+00,2026-01-11 17:25:35.617176+00
0f9b5bec-1d37-48da-8e21-24d5628ae24f,HNV PCM 1ST FLOOR-SONARPUR -04,45f1a024-b36f-465a-8896-125399380cb6,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,1b3fc06b-9948-4232-8a2c-caec58f780aa,48,ad3477d5-de78-4b9f-9302-a4b5db326e9f,3.830,174472,4.100,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-06-23,REHAB OFC,true,2025-08-19 00:00:00+00,2025-12-23 17:56:27.373868+00
