system_id,ring_id,order_in_ring,maintenance_area_id
02313804-ae99-4ae1-8bbb-56f1cba5938c,db39d5c1-936b-476b-94df-f120aedb18fe,2,
05687289-23bc-4264-b911-566fd95c2c4d,a36dd652-8850-4872-93f0-339e8d907754,1,
06fe3ceb-16e8-4dc7-8703-60446ed361f1,104775fe-4c27-44d9-a14b-0c38e21a5786,0,
08df952e-7677-4863-92ed-7f1f84bb0966,c3415dbb-82fc-4c57-bbc7-030774d70494,2,
0ee856f4-f52e-49fa-ad2c-fe0d9d201bec,a36dd652-8850-4872-93f0-339e8d907754,2,
103ed0b5-55e5-44b0-9f7f-63c72a582088,6d920c57-cfda-48b3-842c-5598acc0f55c,1,
11ff6872-bdac-432f-becf-541a42fdd16a,654e4085-294d-4b04-989f-b51905f33e41,3,
11ff6872-bdac-432f-becf-541a42fdd16a,6a24ce8a-a80f-41bb-ab94-17159c33db08,0,
11ff6872-bdac-432f-becf-541a42fdd16a,87442c8d-1a10-46d4-ace6-fde25f87f7b8,1,
11ff6872-bdac-432f-becf-541a42fdd16a,b4351719-d26e-4b77-81df-8e359bb50504,0,
11ff6872-bdac-432f-becf-541a42fdd16a,d1fd3f87-3f00-472f-9c09-b27c592fcde3,0,
11ff6872-bdac-432f-becf-541a42fdd16a,d754eb42-3981-4173-9d9d-3d98af98cfdd,0,
11ff6872-bdac-432f-becf-541a42fdd16a,e996fc48-1f78-4ca3-a2ba-ed1f3afa8755,4,
11ff6872-bdac-432f-becf-541a42fdd16a,f16f583e-5167-4c39-9436-80555517c187,1,
13f8ceaa-8ca8-409f-8805-5eb3f017d92a,d754eb42-3981-4173-9d9d-3d98af98cfdd,3,
14dfd4df-eabb-41e7-b0e4-dfd5c3d94f03,e996fc48-1f78-4ca3-a2ba-ed1f3afa8755,1,
18585a03-c240-46dc-a638-2c8785981748,44beae27-c244-4de8-8121-7f8995c3ce49,1.2,
189db519-2d7c-4dec-934e-50e3116ef8d4,17520ee6-a471-47ed-82c1-0590f4c4bad6,2,
18bb8990-26d2-4b66-a7f4-82f260052276,ea5a641a-0f55-40ad-bd7d-085aa2192c05,2,
19393d8b-f845-4671-befe-3ec81420fb77,fb724801-3a0a-40fe-9bda-d34a8780a984,2.1,
19aee756-2b38-45d4-a664-e269cecb0c45,104775fe-4c27-44d9-a14b-0c38e21a5786,1,
1b8ce612-afcd-45b0-8763-38238a5cdf88,6d920c57-cfda-48b3-842c-5598acc0f55c,3,
21be0b69-721e-4bd9-b5fb-97cc271bfb16,d370d0f5-b147-4417-b32a-92ebf711f4f7,1,
2a48bd62-fc52-433a-a8b1-3f8c6f5993a8,654e4085-294d-4b04-989f-b51905f33e41,1,
2b3b8f7b-a84a-4ef3-b1c6-d6d8aa189785,73ec01ed-474a-44d1-8614-d2deaff6375a,3,
2fc0f4f2-6533-4bfa-96c9-4a7e14ac970a,44beae27-c244-4de8-8121-7f8995c3ce49,1.4,
309b4281-2b6a-411f-b517-2cf5a1aee051,ea5a641a-0f55-40ad-bd7d-085aa2192c05,1,
324a9c1a-0291-4f9a-8fc9-580385e5fdec,654e4085-294d-4b04-989f-b51905f33e41,2.2,
346a8f71-24f0-455e-986e-6622522d8370,c3415dbb-82fc-4c57-bbc7-030774d70494,4,
34ef3363-5ecb-4f17-9a9d-b4f6e1516a09,9cc133bd-d206-4fc4-b0d8-5fb7cdd1e5c2,0.3,
37aa828d-c1a6-4a6d-9ba8-a1822095e210,a36dd652-8850-4872-93f0-339e8d907754,1.2,
3b5ceb14-455f-455f-a59c-b882666ac6b2,73ec01ed-474a-44d1-8614-d2deaff6375a,2,
41cfd297-1854-494c-ac8a-a569cd9fed4c,654e4085-294d-4b04-989f-b51905f33e41,2,
42c68e42-202b-4140-a6fa-0928e8c41b7d,f2d12fde-7958-4a5f-91e8-6a7a8d9b89ce,4,
46753173-30a0-4d95-8e21-b4e8bdb5b5ee,e996fc48-1f78-4ca3-a2ba-ed1f3afa8755,3,
4842fed7-9803-478e-91f6-62d9ddfa3589,08f32227-efbc-41d8-8171-363bf82b21ad,2,
49508a78-b582-4865-af26-a166a6ade2ec,104775fe-4c27-44d9-a14b-0c38e21a5786,3,
49a01245-86ed-4bc5-a649-0f70840b41f8,d754eb42-3981-4173-9d9d-3d98af98cfdd,1,
4b8e7cd5-f855-49ea-9eba-3e77d102f67a,5e1f65a5-4809-47ba-ad2d-c5167fccb190,1,
4c365fbc-dd56-458e-8d68-406c519541f7,db39d5c1-936b-476b-94df-f120aedb18fe,0,
4cfa6e83-9a2e-429c-9bf1-ca2968ec9c7a,87442c8d-1a10-46d4-ace6-fde25f87f7b8,3,
4ec6ae61-edb9-469d-b526-ed20af944ef5,96bb958d-22bf-41b3-ba66-e5cb6fd12644,3,
56046e25-03c7-423f-ae52-e57ac870fa8f,44beae27-c244-4de8-8121-7f8995c3ce49,1.3,
57286a9e-8518-4786-9b05-52638f5f42ff,d8836bb7-2f9c-484f-89ef-6d5cd6f4f51c,1.1,
59ed3fb0-2d31-4c61-abf8-63d59706519c,d754eb42-3981-4173-9d9d-3d98af98cfdd,2,
5a86a7eb-67f4-4771-a3c3-f971cbe336d0,4c1e57c0-b9fc-4279-9ce9-30f943b905d2,0.2,
5a86a7eb-67f4-4771-a3c3-f971cbe336d0,f16f583e-5167-4c39-9436-80555517c187,0,
5fce59b4-9b0f-4741-91e8-d0a623999328,d8836bb7-2f9c-484f-89ef-6d5cd6f4f51c,1,
62680b1e-92fc-4ba8-8420-d95aad54d6f8,17520ee6-a471-47ed-82c1-0590f4c4bad6,1,
62b51f97-44b6-45af-9376-4a5151584e31,fe485021-8891-4bbf-9735-b6db287c831f,0.2,
637a354e-3831-4118-809a-3570cdab0b34,1e437e94-08ee-4e1d-9746-3f8aa136135c,1,
6700ab9c-cbd6-4a5c-9850-9865454fab74,d60d5adb-08af-47f6-a7c5-2c1daabed492,2,
6792d039-3f75-499f-af49-a831119d0204,084a1289-b640-4900-9783-d05e55306fb5,1,
6bbc6566-2af8-4b36-92fb-0bebeed54bda,f2d12fde-7958-4a5f-91e8-6a7a8d9b89ce,0,
6e5cca5f-9516-4264-811b-309d17a29b6a,fe485021-8891-4bbf-9735-b6db287c831f,0,
706dff3d-77d9-43bc-81f5-accec8481a83,d95f0c5e-10b5-4657-a6b2-2b894c6c5b08,1,
77b3925e-bce1-4a8f-90f0-dc08629640d6,f2d12fde-7958-4a5f-91e8-6a7a8d9b89ce,2,
7a9bd1c6-6599-4262-adb2-9cb89daa3119,db39d5c1-936b-476b-94df-f120aedb18fe,5,
7bc351d5-c260-4984-bb79-7646042efa69,1e437e94-08ee-4e1d-9746-3f8aa136135c,1.1,
7dbe65d3-10d6-490c-b64e-fa6793fc3770,d95f0c5e-10b5-4657-a6b2-2b894c6c5b08,3.2,
81809297-b9fa-4baa-93e8-e6327464c94e,084a1289-b640-4900-9783-d05e55306fb5,0,
8418cc68-8607-4fc5-ac10-989af9de67f8,73ec01ed-474a-44d1-8614-d2deaff6375a,1,
8703c40b-61bd-4de0-8f31-6aec8dd9a0e5,fe485021-8891-4bbf-9735-b6db287c831f,1,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,08f32227-efbc-41d8-8171-363bf82b21ad,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,654e4085-294d-4b04-989f-b51905f33e41,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,87442c8d-1a10-46d4-ace6-fde25f87f7b8,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,b2f50b65-79a6-4ef9-91a9-281253381db0,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,c3415dbb-82fc-4c57-bbc7-030774d70494,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,d95f0c5e-10b5-4657-a6b2-2b894c6c5b08,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,ea5a641a-0f55-40ad-bd7d-085aa2192c05,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,f16f583e-5167-4c39-9436-80555517c187,0,
877d8e52-72d7-4e9c-9b76-ae634f5baa3c,fb724801-3a0a-40fe-9bda-d34a8780a984,0,
