id,name,ring_type_id,description,maintenance_terminal_id,total_nodes,is_closed_loop,topology_config,ofc_status,spec_status,bts_status,status,created_at,updated_at
084a1289-b640-4900-9783-d05e55306fb5,MAAN-17,fe67aa4d-b141-467e-a9dd-58691c489abe,,30be8eeb-ec4f-4ce2-9935-b249e70caaec,7,,,Pending,Pending,Pending,true,2025-10-17 00:00:00+00,2025-12-20 06:14:24.098356+00
08f32227-efbc-41d8-8171-363bf82b21ad,HNV-04,94f314d2-c022-4a67-b3c1-5c1044a3d4dc,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> Not issued<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,4,true,,Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2026-01-05 12:05:17.667591+00
09136fb5-6392-44bb-bab4-de1c22a2ac43,HNV-18,94f314d2-c022-4a67-b3c1-5c1044a3d4dc,"<strong class=""text-green-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,2,true,,Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2026-01-05 12:25:27.451009+00
0e8bf0bb-64d7-42f5-87cd-d754e6bdab27,MAAN-19,fe67aa4d-b141-467e-a9dd-58691c489abe,,a41dc1c4-3421-48dd-a123-8c1ddd56b8ba,0,,,Pending,Pending,Pending,true,2025-10-17 00:00:00+00,2025-12-20 06:14:24.098356+00
104775fe-4c27-44d9-a14b-0c38e21a5786,MAAN-06,fe67aa4d-b141-467e-a9dd-58691c489abe,,30be8eeb-ec4f-4ce2-9935-b249e70caaec,4,,,Pending,Pending,Pending,true,2025-10-17 00:00:00+00,2025-12-20 06:14:24.098356+00
17520ee6-a471-47ed-82c1-0590f4c4bad6,HNV-03,94f314d2-c022-4a67-b3c1-5c1044a3d4dc,"<strong class=""text-green-600"">OFC STATUS:</strong> READY WITH CPAN FIBRE<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> Not Issued<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,4,,"{""disabled_segments"":[""189db519-2d7c-4dec-934e-50e3116ef8d4-b057a5ce-0436-402f-90c6-b30d2f4ef00a""]}",Partial Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-20 06:14:24.098356+00
19e0cbaf-8b50-4041-a318-73c09b10c15d,A_0075B,6b0ba3bf-bf7f-4d25-8e37-05e1f6b2b6b3,,4bc2a086-b131-47e1-9c20-f10650c0196d,0,true,{},Ready,Issued,On-Air,true,2026-01-06 06:50:25.488667+00,2026-01-06 06:50:25.488667+00
1e437e94-08ee-4e1d-9746-3f8aa136135c,HNV-21,94f314d2-c022-4a67-b3c1-5c1044a3d4dc,"<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />
<strong class=""text-blue-600"">OFC STATUS:</strong> READY WITH CPAN FIBER<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,3,,,Partial Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-20 06:14:24.098356+00
2b85991d-8610-490b-907a-8c49029b343b,HNV_CPAN,18429ead-ad6a-46aa-8155-2b418cb5def5,,4bc2a086-b131-47e1-9c20-f10650c0196d,0,,,Ready,Issued,On-Air,true,2025-10-17 00:00:00+00,2025-12-20 06:14:24.098356+00
2ca8c4e6-bd3a-4b0d-969d-015b5627af01,A-0327,6b0ba3bf-bf7f-4d25-8e37-05e1f6b2b6b3,,4bc2a086-b131-47e1-9c20-f10650c0196d,0,true,{},Ready,Issued,On-Air,true,2026-01-06 10:32:54.575157+00,2026-01-06 10:32:54.575157+00
