id,node_id,end_node_id,name,link_type_id,description,bandwidth_allocated,vlan,lc_id,unique_id,status,created_at,updated_at
00017ee3-4f1d-4ed0-930e-85989f327240,9316bc95-e5b0-4e58-b16f-424662b14ac8,,M/S SARDER CABLE BORAL UTTAR DANGA,b34e5c12-9557-4a9d-a901-6e2ab561dcc0,PRANA BORAL BTS CPAN 10.123.29.209/1.6,,,,,true,2025-12-07 00:00:00+00,2025-12-07 00:00:00+00
0010af35-9813-4b15-9b6a-8e0d9d4549aa,41355205-b6db-4d38-bebf-9f0cf2998f64,ee2ea175-88c4-4021-bca9-f7814388d574,ADM16/R-137:SDH 2.5G: JADAVPUR ADM16/R-136:10.119.23.131:4.4 → RANIKUTI ADM16/R-137:10.119.23.133:4.3,53ad10dc-7140-437e-8f18-8f2b4b024d67,Auto-generated from Ring Path Configuration,2.5G,,,,true,2026-02-16 05:51:38.135499+00,2026-02-25 08:10:38.986499+00
003b7803-5da3-4158-ae51-b6e98f9bafcd,6ae392f8-cabe-4121-89a6-5a3ce5905a29,,BORAL-II 2G,30b95289-bc6c-4584-a51d-800e3b6356c9,,4 Mbps,1768,,,true,2026-01-01 11:05:40.493761+00,2026-01-01 11:19:32.219809+00
003f784e-8f69-47b7-aa66-517d545158db,b5bfbef5-356c-499b-ad2b-351b7ed6a845,,LC-OLT_1681-1689-1691-1693,3a549f97-6c19-409c-b136-3b670c9d0009,,,"1681,1689,1691,1693",,,true,2025-12-31 06:11:16.200603+00,2025-12-31 06:11:16.200603+00
0073e624-66fc-4f14-98f8-fd65decd34e9,4655a834-c64f-48c8-90a0-6e4f9654acf1,9316bc95-e5b0-4e58-b16f-424662b14ac8,HNV-09:MAAN BBU Link: BORAL A3:10.127.0.74:ETH-1-1-2 → BBU_PRANA BORAL:10.118.27.35:P2,6c39b923-0abb-419d-8210-ce5437558763,,1G,,,,true,2026-02-28 04:54:53.236791+00,2026-02-28 05:00:39.198038+00
0140a28a-121f-48bc-84c0-d298980aba69,41e45185-102e-408f-86b0-285c8b2a411f,,NARENDRAPUR,30b95289-bc6c-4584-a51d-800e3b6356c9,,4 Mbps,1741,,,true,2025-12-03 00:00:00+00,2025-12-20 06:20:53.38352+00
01640741-ff49-4257-9814-94a39b34dd8a,45f1a024-b36f-465a-8896-125399380cb6,,BTS 4G-HARINAVI,ef21f735-94e1-448f-9b17-54f0145004e0,,175 Mbps,3528,,,true,2025-12-03 00:00:00+00,2025-12-22 07:27:27.297334+00
01741e71-9865-48e8-8dec-404b533a20af,abfa36d3-d0ed-486e-8f97-62651f7a9b9e,,KANDARPUR SAHAPARA BTS,35b215a3-75cc-4a95-859f-85a5414fcced,,58 Mbps,1530,,Z3GJDPIPJDP5502,true,2025-12-11 00:00:00+00,2025-12-20 06:20:40.861655+00
01976d09-53c4-4d6a-9706-523a8d15dcf3,490a7b87-4ee6-43b0-828e-f93e51f8ec49,,MAHAMAYAPUR,35b215a3-75cc-4a95-859f-85a5414fcced,,65 Mbps,1807,,T4KO01IPJDPP098504,true,2025-12-03 00:00:00+00,2025-12-20 06:20:59.001104+00
0229467c-bb48-4726-8c2f-cb17c2c93728,badf80cb-ccc2-47f9-8dc4-82e32733b251,,LC_OLT_1000284637_INDIAN BANK Erstwhile ALLAHABAD BANK,3a549f97-6c19-409c-b136-3b670c9d0009,,5 Mbps,"1622,1688",1000284637,,true,2025-12-11 00:00:00+00,2025-12-30 10:52:25.146106+00
023cb9f8-37a1-4a43-9781-79030f90139a,b5bfbef5-356c-499b-ad2b-351b7ed6a845,,LC_OLT_1601_1613_1614_1621,3a549f97-6c19-409c-b136-3b670c9d0009,,15 Mbps,1601/1613/1614/1621,,,true,2025-12-11 00:00:00+00,2026-01-08 07:35:07.74256+00
025665e1-41f2-433b-8eee-266ab8b97af7,5ff68e3d-96c7-41b7-a27e-53823346640a,,PIYALI TOWN II,30b95289-bc6c-4584-a51d-800e3b6356c9,,4 Mbps,1776,,,true,2025-12-03 00:00:00+00,2025-12-31 05:27:25.558939+00
030154be-9d5e-4c2e-b555-e305747d685c,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,aeaa6688-ca5f-4a9d-9d72-28ac13063d15,HNV-11:MAAN BBU Link: SONARPUR A4:10.127.0.76:ETH-1-1-4 → BBU_BARENDRA PARA:P2,6c39b923-0abb-419d-8210-ce5437558763,,1G,,,,true,2026-02-26 11:46:25.988392+00,2026-02-26 11:46:25.988392+00
03c305b5-8905-4c43-aa6d-2d862ec53034,f62efeda-0828-4bf3-b9c6-076aee551b93,,DAKSHIN CHOWHATI 2G,30b95289-bc6c-4584-a51d-800e3b6356c9,,2 Mbps,1761,,,true,2026-01-01 11:46:41.236059+00,2026-01-01 11:46:41.236059+00
