Channel,Port Type,Service,Type
3.1,10 GE(O),CTD_HNV_AP NAGAR_10.123.138.198/3.1-CTD_HNV_SITAKUNDU_10.123.138.197/4.1,CPAN DL
4.1,10 GE(O),CTD_HNV_AP NAGAR_10.123.138.198/4.1-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.1,CPAN DL
3.10,1GE(E),-,Unbound
3.11,1GE(E),-,Unbound
3.12,1GE(E),-,Unbound
3.7,1GE(E),CTD_HNV_AP NAGAR_10.123.138.198/3.7-CTD_HNV_AP NAGAR_10.123.138.222/1.3,CPAN DL
3.8,1GE(E),-,Unbound
3.9,1GE(E),-,Unbound
4.10,1GE(E),-,Unbound
4.11,1GE(E),-,Unbound
4.12,1GE(E),-,Unbound
4.7,1GE(E),-,Unbound
4.8,1GE(E),-,Unbound
4.9,1GE(E),-,Unbound
1.10,E1,-,Unbound
1.11,E1,-,Unbound
1.12,E1,-,Unbound
1.13,E1,-,Unbound
1.14,E1,-,Unbound
1.15,E1,-,Unbound
1.16,E1,-,Unbound
1.17,E1,-,Unbound
1.18,E1,-,Unbound
1.19,E1,-,Unbound
1.2,E1,-,Unbound
1.5,E1,-,Unbound
1.6,E1,-,Unbound
1.7,E1,-,Unbound
1.8,E1,-,Unbound
1.9,E1,-,Unbound
2.10,E1,-,Unbound
2.11,E1,-,Unbound
2.12,E1,-,Unbound
2.13,E1,-,Unbound
2.14,E1,-,Unbound
2.15,E1,-,Unbound
2.16,E1,-,Unbound
2.17,E1,-,Unbound
2.18,E1,-,Unbound
2.19,E1,-,Unbound
2.2,E1,-,Unbound
2.5,E1,-,Unbound
2.6,E1,-,Unbound
2.7,E1,-,Unbound
2.8,E1,-,Unbound
2.9,E1,-,Unbound
3.2,GE(O),CTD_HNV_SONARPORE GHASIARA_10.123.138.218/2.5-CTD_HNV_AP NAGAR_10.123.138.198/3.2,CPAN DL
3.3,GE(O),-,Unbound
3.4,GE(O),CTD_HNV_AP NAGAR_10.123.138.198/3.4-CTD_HNV_SONARPUR_10.123.138.199/4.2,CPAN DL
3.5,GE(O),1000100168_BOB-SONARPUR_APNGR_138.198/3.5_25.65/5.5-4068,LEASED CKT
3.5,GE(O),1000184559_ONGC-SONARPUR_APNGR_138.198/3.5_141.69/4.4_4050,LEASED CKT
3.6,GE(O),-,Unbound
4.2,GE(O),-,Unbound
4.3,GE(O),-,Unbound
4.4,GE(O),-,Unbound
4.5,GE(O),-,Unbound
4.6,GE(O),-,Unbound
7.1,POWER PORT,-,Unbound
8.1,POWER PORT,-,Unbound
1.1,STM1,-,Unbound
1.2,STM1,-,Unbound
1.3,STM1,-,Unbound
1.4,STM1,-,Unbound
2.1,STM1,-,Unbound
2.2,STM1,-,Unbound
2.3,STM1,-,Unbound
2.4,STM1,-,Unbound
