Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),BARUIPUR RAIL CROSSING,BTS 2G
1.3,FE/GE(E),BARUIPUR RAIL CROSSING,BTS 3G
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/3.2-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/1.5,CPAN DL
1.6,GE(O),BARUIPUR RAIL CROSSING,BTS 4G
2.5,GE(O),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.5-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/2.5,CPAN DL
2.6,GE(O),-,Unbound
