Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),-,Unbound
1.4,FE/GE(E),CTD_HNV_BARUIPUR BAZAR BTS NODE 2_10.123.138.243/1.3-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.4,CPAN DL
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.2-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.5,CPAN DL
1.6,GE(O),UTTAR KALYANPUR,BTS 2G
1.6,GE(O),UTTAR KALYANPUR,BTS 3G
1.6,GE(O),KALYANPUR CHANDIPUR,BTS 4G
1.6,GE(O),UTTAR KALYANPUR,BTS 4G
2.5,GE(O),-,Unbound
2.6,GE(O),-,Unbound
