Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),1000293301_WBSWAN_BARUIPUR_PHULTALA-138.212/1.3_138.1/3.7_3701_SHIFT,LEASED CKT
1.4,FE/GE(E),CTD_HNV_BARUIPUR BDO NODE-2_10.123.138.224/1.4-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.4,CPAN DL
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.5-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),-,Unbound
2.6,GE(O),-,Unbound
