Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.3-CTD_HNV_BARUIPUR_10.123.138.196/3.7,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),BARUIPUR EXNG A1_10.123.138.220/2.4==Baruipur -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link
1.5,GE(O),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.5-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/2.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),BARUIPUR EXCH$2,BTS 3G
2.6,GE(O),BARUIPUR DUTTAPARA,BTS 2G
2.6,GE(O),BARUIPUR DUTTAPARA,BTS 3G
