Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),-,Unbound
1.4,FE/GE(E),BARUIPUR KALYANPUR,BTS 2G
1.4,FE/GE(E),BARUIPUR KALYANPUR,BTS 3G
1.4,FE/GE(E),Baruipur Kalyanpur,BTS 4G
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),BARUIPUR-3,BTS 4G
1.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.5-CTD_HNV_BARUIPUR III BTS_10.123.138.211/1.5,CPAN DL
1.6,GE(O),BARUIPUR 3,BTS 2G
1.6,GE(O),BARUIPUR 3,BTS 3G
2.5,GE(O),-,Unbound
2.6,GE(O),SASAN BARUIPUR,BTS 3G
2.6,GE(O),Sasan_Baruipur,BTS 4G
