Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_BARUIPUR NODE 3_10.123.138.240/1.4-CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.3,CPAN DL
1.4,FE/GE(E),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.4-CTD_HNV_BARUIPUR_10.123.138.196/3.10,CPAN DL
2.3,FE/GE(E),BARUIPUR (NIRALA ROAD),BTS 4G
2.4,FE/GE(E),CTD_HNV_BARUIPUR_10.123.138.196/4.9-CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.4,CPAN DL
1.5,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.5-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),-,Unbound
2.6,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.6-CTD_HNV_KALYANPUR RSU_10.123.138.232/1.5,CPAN DL
