Port Type,Port Capacity,Service,Service Type
STM1,155 Mbps,-,-
STM1,155 Mbps,-,-
STM1,155 Mbps,-,-
STM1,155 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
STM1,155 Mbps,-,-
STM1,155 Mbps,-,-
STM1,155 Mbps,-,-
STM1,155 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
E1,2 Mbps,-,-
10 GE(O),10 GBps,CTD_HNV_GOBINDAPUR_10.123.138.195/5.1-CTD_HNV_BARUIPUR_10.123.138.196/3.1,CPAN DL
GE(O),1 GBps,-,-
GE(O),1 GBps,-,-
GE(O),1 GBps,-,-
GE(O),1 GBps,1000293230_WBSWAN_SDO(CIVIL)BRP_3702,LEASED CKT
GE(O),1 GBps,1000120482_SBI_BARUIPUR_138.196/3.5_138.65/3.8_3865,LEASED CKT
GE(O),1 GBps,1000122714_SBI_BARUIPUR_BZR_138.196/3.5_25.65/5.5_4030,LEASED CKT
GE(O),1 GBps,1000537505_CSR_BARUIPUR_138.199/3.5_141.173/1.4_413,LEASED CKT
GE(O),1 GBps,Baruipur(Nirala Road),BTS 2G
GE(O),1 GBps,BARUIPUR MADARHAT ROAD,BTS 3G
GE(O),1 GBps,Baruipur(Nirala Road),BTS 3G
GE(O),1 GBps,KHODAR BAZAR,BTS 3G
GE(O),1 GBps,PIYALI TOWN I,BTS 2G
GE(O),1 GBps,PIYALI TOWN I,BTS 3G
1GE(E),1 GBps,CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.3-CTD_HNV_BARUIPUR_10.123.138.196/3.7,CPAN DL
1GE(E),1 GBps,BARUIPUR DUTTAPARA,BTS 4G
1GE(E),1 GBps,BARUIPUR_10.123.138.196/3.9==Baruipur -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link
1GE(E),1 GBps,CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.4-CTD_HNV_BARUIPUR_10.123.138.196/3.10,CPAN DL
1GE(E),1 GBps,-,-
1GE(E),1 GBps,-,-
10 GE(O),10 GBps,CTD_HNV_SITAKUNDU_10.123.138.197/3.1-CTD_HNV_BARUIPUR_10.123.138.196/4.1,CPAN DL
GE(O),1 GBps,CTD_HNV_BARUIPUR_10.123.138.196/4.2-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.5,CPAN DL
GE(O),1 GBps,CTD_HNV_BARUIPUR_10.123.138.196/4.3-CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/1.5,CPAN DL
GE(O),1 GBps,-,-
GE(O),1 GBps,CTD_HNV_BARUIPUR_10.123.138.196/4.5-CTD_HNV_BARUIPUR III BTS_10.123.138.211/1.5,CPAN DL
GE(O),1 GBps,-,-
1GE(E),1 GBps,-,-
1GE(E),1 GBps,-,-
1GE(E),1 GBps,CTD_HNV_BARUIPUR_10.123.138.196/4.9-CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.4,CPAN DL
1GE(E),1 GBps,BARUIPUR_10.123.138.196/4.10==Baruipur -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link
1GE(E),1 GBps,BARUIPUR_10.123.138.196/4.11==Baruipur -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link
1GE(E),1 GBps,-,-
POWER PORT,Unknown,-,-
POWER PORT,Unknown,-,-
