Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),BORAL,BTS 2G
1.3,FE/GE(E),BORAL,BTS 3G
1.4,FE/GE(E),BORAL,BTS 4G
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_SUNNY SEASON ROU A1 NODE 2_10.123.29.224/2.5-CTD_HNV_BORAL ROU A1_10.123.29.225/1.5,CPAN DL
1.6,GE(O),CTD_HNV_BORAL ROU A1_10.123.29.225/1.6-CTD_HNV_KAMALGAJI_10.123.29.196/4.6,CPAN DL
2.5,GE(O),CTD_HNV_HNV Tx A1_10.123.138.233/1.5-CTD_HNV_BORAL ROU A1_10.123.29.225/2.5,CPAN DL
2.6,GE(O),CTD_HNV_BORAL ROU A1_10.123.29.225/2.6-CTD_HNV_PRAN BORAL BTS_10.123.29.209/1.5,CPAN DL
