Channel,Port Type,Service,Type
3.1,10 GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/5.1-CTD_HNV_ BRAHMAPUR_10.123.138.203/3.1,CPAN DL
4.1,10 GE(O),CTD_RSA_RUSSA B2-01_10.123.138.2/5.1-CTD_HNV_ BRAHMAPUR_10.123.138.203/4.1,CPAN DL
3.10,1GE(E),-,Unbound
3.11,1GE(E),-,Unbound
3.12,1GE(E),-,Unbound
3.7,1GE(E),BONHOOGHLY II,BTS 4G
3.8,1GE(E),-,Unbound
3.9,1GE(E),-,Unbound
4.10,1GE(E),-,Unbound
4.11,1GE(E),-,Unbound
4.12,1GE(E),-,Unbound
4.7,1GE(E),-,Unbound
4.8,1GE(E),-,Unbound
4.9,1GE(E),-,Unbound
1.10,E1,-,Unbound
1.11,E1,-,Unbound
1.12,E1,-,Unbound
1.13,E1,-,Unbound
1.14,E1,-,Unbound
1.15,E1,-,Unbound
1.16,E1,-,Unbound
1.17,E1,-,Unbound
1.18,E1,-,Unbound
1.19,E1,-,Unbound
1.2,E1,-,Unbound
1.5,E1,-,Unbound
1.6,E1,-,Unbound
1.7,E1,-,Unbound
1.8,E1,-,Unbound
1.9,E1,-,Unbound
2.10,E1,-,Unbound
2.11,E1,-,Unbound
2.12,E1,-,Unbound
2.13,E1,-,Unbound
2.14,E1,-,Unbound
2.15,E1,-,Unbound
2.16,E1,-,Unbound
2.17,E1,-,Unbound
2.18,E1,-,Unbound
2.19,E1,-,Unbound
2.2,E1,-,Unbound
2.5,E1,-,Unbound
2.6,E1,-,Unbound
2.7,E1,-,Unbound
2.8,E1,-,Unbound
2.9,E1,-,Unbound
3.2,GE(O),-,Unbound
3.3,GE(O),-,Unbound
3.4,GE(O),-,Unbound
3.5,GE(O),BRAHMAPUR PLACE ROAD,BTS 2G
3.5,GE(O),BRAHMAPUR PLACE ROAD,BTS 3G
3.5,GE(O),BRAHMAPUR PLACE ROAD,BTS 4G
3.6,GE(O),BRAHMAPUR,BTS 2G
3.6,GE(O),BRAHMAPUR,BTS 3G
3.6,GE(O),BORAL II,BTS 4G
4.2,GE(O),-,Unbound
4.3,GE(O),-,Unbound
4.4,GE(O),BRAHMAPUR,BTS 4G
4.5,GE(O),-,Unbound
4.6,GE(O),-,Unbound
7.1,POWER PORT,-,Unbound
8.1,POWER PORT,-,Unbound
1.1,STM1,-,Unbound
1.2,STM1,-,Unbound
1.3,STM1,-,Unbound
1.4,STM1,-,Unbound
2.1,STM1,-,Unbound
2.2,STM1,-,Unbound
2.3,STM1,-,Unbound
2.4,STM1,-,Unbound
