Port Type,Port Capacity,Service,Service Type
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,BTS 4G-KALYANPUR CHANDIPUR,BTS 4G
1G,1 GBps,BTS 4G-UTTAR KALYANPUR,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR STATION BAZAR,BTS 4G
1G,1 GBps,BTS 4G-KALYANPUR CHANDIPUR,BTS 4G
1G,1 GBps,BTS 4G-UTTAR KALYANPUR,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR STATION BAZAR,BTS 4G
1G,1 GBps,BTS 4G-JOGIBARTALA,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR-II,BTS 4G
1G,1 GBps,BTS 4G-MAHINAGAR II,BTS 4G
1G,1 GBps,BTS 4G-MALLICKPUR III,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR RAIL CROSSING,BTS 4G
1G,1 GBps,BTS 4G-KALYANPUR (DAKSHIN),BTS 4G
1G,1 GBps,BTS 4G-Sasan_Baruipur,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR-3,BTS 4G
1G,1 GBps,BTS 4G-Baruipur Kalyanpur,BTS 4G
1G,1 GBps,BTS 4G-KALYANPUR (DAKSHIN),BTS 4G
1G,1 GBps,BTS 4G-Sasan_Baruipur,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR-3,BTS 4G
1G,1 GBps,BTS 4G-Baruipur Kalyanpur,BTS 4G
1G,1 GBps,BTS 4G-Sitakundu,BTS 4G
1G,1 GBps,BTS 4G-Baruipur Phultala,BTS 4G
1G,1 GBps,BTS 4G-PIYALI TOWN-2,BTS 4G
1G,1 GBps,BTS 4G-Sitakundu,BTS 4G
1G,1 GBps,BTS 4G-Baruipur Phultala,BTS 4G
1G,1 GBps,BTS 4G-PIYALI TOWN-2,BTS 4G
1G,1 GBps,BTS 4G-MANDALPADA,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR EXCH,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR (NIRALA ROAD),BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR DUTTAPARA,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR MADARHAT ROAD,BTS 4G
1G,1 GBps,BTS 4G-KHODAR BAZAR,BTS 4G
1G,1 GBps,BTS 4G-Baruipur Madarhat II,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR MADARHAT,BTS 4G
1G,1 GBps,BTS 4G-MANDALPADA,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR EXCH,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR (NIRALA ROAD),BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR DUTTAPARA,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR MADARHAT ROAD,BTS 4G
1G,1 GBps,BTS 4G-KHODAR BAZAR,BTS 4G
1G,1 GBps,BTS 4G-Baruipur Madarhat II,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR MADARHAT,BTS 4G
1G,1 GBps,KALYANPUR (DAKSHIN),BTS 4G
1G,1 GBps,-,-
1G,1 GBps,-,-
1000 Base-TX,1 GBps,BARUIPUR_10.123.138.196/3.9==Baruipur -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link
1000 Base-TX,1 GBps,BARUIPUR_10.123.138.196/4.10==Baruipur -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link
1000 Base-TX,1 GBps,BARUIPUR_10.123.138.196/4.11==Baruipur -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link
1000 Base-TX,1 GBps,BARUIPUR EXNG A1_10.123.138.220/2.4==Baruipur -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link
