Port Type,Port Capacity,Service,Service Type
1G,1 GBps,BTS 4G-BORAL,BTS 4G
1G,1 GBps,BTS 4G-BORAL,BTS 4G
1G,1 GBps,BTS 4G-PRANA BORAL,BTS 4G
1G,1 GBps,BTS 4G-Dakshin Bonhooghly,BTS 4G
1G,1 GBps,BTS 4G-Azadgarh,BTS 4G
1G,1 GBps,BTS 4G-BRAHMAPUR,BTS 4G
1G,1 GBps,BTS 4G-BRAHMAPUR PLACE ROAD,BTS 4G
1G,1 GBps,BTS 4G-NSC BOSE ROAD,BTS 4G
1G,1 GBps,BTS 4G-BORAL II,BTS 4G
1G,1 GBps,BTS 4G-PRANA BORAL,BTS 4G
1G,1 GBps,BTS 4G-Dakshin Bonhooghly,BTS 4G
1G,1 GBps,BTS 4G-BORAL NATUNHAT,BTS 4G
1G,1 GBps,BORAL MAJHERPARA,BTS 4G
1G,1 GBps,BORAL MAJHERPARA,BTS 4G
1G,1 GBps,-,-
1G,1 GBps,BTS 4G-BONHOOGHLY II,BTS 4G
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
