Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),1000474262_DRDO_BARUIPUR_29.246_25.65/5.5_vlan-4008,LEASED CKT
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),1000559335_DRDO-HQ_136.35/2.4_138.1/38.1/6.7_4006,LEASED CKT
1.5,GE(O),CTD_BHL_JULPIA_10.123.136.3/3.4-CTD_HNV_DRDO BARUIPUR_10.123.136.35/1.5,CPAN DL
1.6,GE(O),CTD_BHL_BHL-TX-NODE-2_10.123.136.39/1.6-CTD_HNV_DRDO BARUIPUR_10.123.136.35/1.6,CPAN DL
2.5,GE(O),-,Unbound
2.6,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/1.5-CTD_HNV_DRDO BARUIPUR_10.123.136.35/2.6,CPAN DL
