Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),-,Unbound
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_FARTABAD ROU_10.123.138.47/1.5-CTD_HNV_HHC ROU_10.123.138.46/2.5,CPAN DL
1.6,GE(O),MAHAMAYAPUR,BTS 3G
1.6,GE(O),Mahamayapur,BTS 4G
2.5,GE(O),CTD_JDP_BAISHNAVGHATA ROU A1_10.123.138.23/1.5-CTD_HNV_FARTABAD ROU_10.123.138.47/2.5,CPAN DL
2.6,GE(O),FARTABAD,BTS 2G
2.6,GE(O),FARTABAD,BTS 3G
2.6,GE(O),FARTABAD,BTS 4G
