Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),GANGAJORA,BTS 2G
1.3,FE/GE(E),GANGAJORA,BTS 3G
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),GANGAJORA,BTS 4G
1.5,GE(O),CTD_HNV_GANGAJOARA BTS_10.123.138.248/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/2.6,CPAN DL
1.6,GE(O),SONARPUR BADAMTALA,BTS 3G
2.5,GE(O),-,Unbound
2.6,GE(O),SONARPUR KURIGACHI,BTS 2G
2.6,GE(O),SONARPUR KURIGACHI,BTS 3G
2.6,GE(O),SONARPUR KURIGACHI,BTS 4G
