Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_HARINAVI_10.123.138.193_GNE/4.7-CTD_HNV_HARINAVI EXCH NODE-6_10.123.138.244/1.3,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),CTD_HNV_HARINAVI EXCH NODE-6_10.123.138.244/2.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/4.8,CPAN DL
2.4,FE/GE(E),-,Unbound
1.5,GE(O),HARINAVI,BTS 2G
1.5,GE(O),HARINAVI$2,BTS 3G
1.6,GE(O),SONARPUR SOUTH,BTS 2G
1.6,GE(O),SUBHASHGRAM PETUA,BTS 2G
1.6,GE(O),SONARPUR SOUTH,BTS 3G
1.6,GE(O),SUBHASHGRAM PETUA,BTS 3G
1.6,GE(O),SUBHASHGRAM PETUA,BTS 4G
1.6,GE(O),SONARPUR SOUTH,BTS 4G
2.5,GE(O),-,Unbound
2.6,GE(O),-,Unbound
