Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_HNV TX A1-2_10.123.138.238/1.3-CTD_HNV_HNV TX A1_10.123.138.217/1.3,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),NARENDRAPUR III,BTS 2G
2.3,FE/GE(E),NARENDRAPUR III,BTS 3G
2.3,FE/GE(E),NARENDRAPUR-III,BTS 4G
2.4,FE/GE(E),SUBHASGRAM_PANCHGHARA,BTS 2G
2.4,FE/GE(E),SUBHASGRAM_PANCHGHARA,BTS 3G
2.4,FE/GE(E),SUBHASGRAM PANCHGHARA,BTS 4G
2.4,FE/GE(E),MALLICKPUR II,BTS 4G
1.5,GE(O),Ghoshpara Darir Road,BTS 4G
1.6,GE(O),-,Unbound
2.5,GE(O),HARINAVI,BTS 4G
2.6,GE(O),-,Unbound
