Port Type,Port Capacity,Service,Service Type
1G,1 GBps,HARINAVI_10.123.138.193_GNE/6.2==Harinavi -B3(CAT2) /1/ETH-1-1-1,CPAN MAAN Link
1G,1 GBps,BTS 4G-MAHINAGAR,BTS 4G
1G,1 GBps,BTS 4G-KODALIA,BTS 4G
1G,1 GBps,BTS 4G-GOVINDAPUR,BTS 4G
1G,1 GBps,BTS 4G-South Gobindapur,BTS 4G
1G,1 GBps,BTS 4G-BADE HOOGHLY,BTS 4G
1G,1 GBps,HARINAVI_10.123.138.193_GNE/6.3==Harinavi -B3(CAT2) /1/ETH-1-1-3,CPAN MAAN Link
1G,1 GBps,BTS 4G-MAHINAGAR,BTS 4G
1G,1 GBps,BTS 4G-KODALIA,BTS 4G
1G,1 GBps,BTS 4G-GOVINDAPUR,BTS 4G
1G,1 GBps,BTS 4G-South Gobindapur,BTS 4G
1G,1 GBps,BTS 4G-BADE HOOGHLY,BTS 4G
1G,1 GBps,BTS 4G-SARMASTAPUR,BTS 4G
1G,1 GBps,BTS 4G-CHOWHATI POLEHAT,BTS 4G
1G,1 GBps,BTS 4G-MALANCHA_CHANDPUR,BTS 4G
1G,1 GBps,BTS 4G-BARUIPUR RAIL CROSSING,BTS 4G
1G,1 GBps,BTS 4G-SARMASTAPUR,BTS 4G
1G,1 GBps,BTS 4G-CHOWHATI POLEHAT,BTS 4G
1G,1 GBps,BTS 4G-MALANCHA_CHANDPUR,BTS 4G
1G,1 GBps,BTS 4G-RAMCHANDRAPUR,BTS 4G
1G,1 GBps,BTS 4G-GARIA MAIN ROAD,BTS 4G
1G,1 GBps,BTS 4G-JAGATDAL-2,BTS 4G
1G,1 GBps,BTS 4G-SHALIMAR CHEMICAL,BTS 4G
1G,1 GBps,BTS 4G-Narendrapur BSC,BTS 4G
1G,1 GBps,BTS 4G-NARENDRAPUR,BTS 4G
1G,1 GBps,BTS 4G-Narendrapur,BTS 4G
1G,1 GBps,BTS 4G-RAJPUR SARKAR PARA,BTS 4G
1G,1 GBps,BTS 4G-BARENDRA PARA,BTS 4G
1G,1 GBps,BTS 4G-NOTUN PALLY,BTS 4G
1G,1 GBps,BTS 4G-SUBHAS GRAM BANK PLOT,BTS 4G
1G,1 GBps,BTS 4G-HARINAVI,BTS 4G
1G,1 GBps,BTS 4G-HARINAVI,BTS 4G
1G,1 GBps,-,-
1000 Base-TX,1 GBps,BTS 4G-SUBHASHGRAM PETUA,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-SONARPUR SOUTH,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-NARENDRAPUR-III,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-MALLICKPUR II,BTS 4G
1000 Base-TX,1 GBps,HARINAVI_10.123.138.193_GNE/5.7==Harinavi -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link
1000 Base-TX,1 GBps,BTS 4G-SUBHASGRAM,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-MOLLIKPUR SITALA MANDIR,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-SUBHASHGRAM KODALIA,BTS 4G
1000 Base-TX,1 GBps,HARINAVI_10.123.138.193_GNE/5.8==Harinavi -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link
1000 Base-TX,1 GBps,BTS 4G-SUBHASGRAM PANCHGHARA,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-Ghoshpara Darir Road,BTS 4G
1000 Base-TX,1 GBps,BTS 4G-SUBHASHGRAM RAILGATE,BTS 4G
1000 Base-TX,1 GBps,HARINAVI_10.123.138.193_GNE/5.9==Harinavi -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link
1000 Base-TX,1 GBps,HARINAVI_10.123.138.193_GNE/5.10==Harinavi -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link
