Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),JOGIBARTALA,BTS 2G
1.3,FE/GE(E),JOGIBARTALA,BTS 3G
1.4,FE/GE(E),JOGIBARTALA,BTS 4G
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_JOGIBARTALA BTS_10.123.138.208/1.5-CTD_HNV_BARUIPUR II BTS_10.123.138.207/2.5,CPAN DL
1.6,GE(O),OLT_M/S ADITI ENTERPRISE_10.215.23.186,OLT
2.5,GE(O),CTD_HNV_GOBINDAPUR_10.123.138.195/3.2-CTD_HNV_JOGIBARTALA BTS_10.123.138.208/2.5,CPAN DL
2.6,GE(O),-,Unbound
