Port Type,Port Capacity,Service,Service Type
1G,1 GBps,BTS 4G-RAMCHANDRAPUR,BTS 4G
1G,1 GBps,BTS 4G-GARIA MAIN ROAD,BTS 4G
1G,1 GBps,BTS 4G-JAGATDAL-2,BTS 4G
1G,1 GBps,BTS 4G-SHALIMAR CHEMICAL,BTS 4G
1G,1 GBps,BTS 4G-Narendrapur BSC,BTS 4G
1G,1 GBps,BTS 4G-NARENDRAPUR,BTS 4G
1G,1 GBps,BTS 4G-Narendrapur,BTS 4G
1G,1 GBps,BTS 4G-NARENDRAPUR - I I,BTS 4G
1G,1 GBps,BTS 4G-Mission Pally,BTS 4G
1G,1 GBps,BTS 4G-SONARPUR TEGHARIA,BTS 4G
1G,1 GBps,BTS 4G-SONARPUR II,BTS 4G
1G,1 GBps,BTS 4G-FARTABAD,BTS 4G
1G,1 GBps,BTS 4G-HINDUSTAN MORE,BTS 4G
1G,1 GBps,BTS 4G-FARTABAD,BTS 4G
1G,1 GBps,BTS 4G-HINDUSTAN MORE,BTS 4G
1G,1 GBps,BTS 4G-Bager Khol Natunhat,BTS 4G
1G,1 GBps,BTS 4G-KAMALGACHI PEYARA BAGAN,BTS 4G
1G,1 GBps,BTS 4G-Bager Khol Natunhat,BTS 4G
1G,1 GBps,BTS 4G-KAMALGACHI PEYARA BAGAN,BTS 4G
1G,1 GBps,BTS 4G-KAMALGAZI,BTS 4G
1G,1 GBps,BTS 4G-GARIA KANDARPUR SAHAPARA,BTS 4G
1G,1 GBps,BTS 4G-Uddyan Palli(Rakshit More),BTS 4G
1G,1 GBps,BTS 4G-Ramchandrapur II,BTS 4G
1G,1 GBps,BTS 4G-Narendrapur Station,BTS 4G
1G,1 GBps,BTS 4G-Lashkarpur,BTS 4G
1G,1 GBps,BTS 4G-Mahamayatala II,BTS 4G
1G,1 GBps,BTS 4G-KAMALGAZI,BTS 4G
1G,1 GBps,BTS 4G-GARIA KANDARPUR SAHAPARA,BTS 4G
1G,1 GBps,BTS 4G-Uddyan Palli(Rakshit More),BTS 4G
1G,1 GBps,BTS 4G-Ramchandrapur II,BTS 4G
1G,1 GBps,BTS 4G-Narendrapur Station,BTS 4G
1G,1 GBps,BTS 4G-Lashkarpur,BTS 4G
1G,1 GBps,BTS 4G-Mahamayatala II,BTS 4G
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1000 Base-TX,1 GBps,KAMALGAJI_10.123.29.196/5.7==Kamalgazi BTS-A3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link
1000 Base-TX,1 GBps,KAMALGAJI_10.123.29.196/5.8==Kamalgazi BTS-A3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
