Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),SHALIMAR CHEMICAL,BTS 2G
1.3,FE/GE(E),SHALIMAR CHEMICAL,BTS 2G
1.4,FE/GE(E),Narendrapur Rathtala,BTS 2G
1.4,FE/GE(E),Narendrapur Rathtala,BTS 3G
1.4,FE/GE(E),Narendrapur BSC,BTS 4G
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),SHALIMAR CHEMICAL,BTS 4G
1.5,GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/4.3-CTD_HNV_SHALIMAR CHEMICAL_10.123.138.214/1.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),CTD_HNV_NARENDRAPUR KRISHNA_10.123.138.213/1.5-CTD_HNV_SHALIMAR CHEMICAL_10.123.138.214/2.5,CPAN DL
2.6,GE(O),-,Unbound
