Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.3-CTD_HNV_SONARPUR_10.123.138.199/3.8,CPAN DL
1.4,FE/GE(E),1000560320_PNB-KHEADAH_138.227/1.4_138.1/6.7_4009,LEASED CKT
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.5-CTD_HNV_FIEM-ROU-A1_10.123.138.228/2.5,CPAN DL
1.6,GE(O),CTD_HNV_BARENDRA PARA BTS_10.123.138.249/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.6,CPAN DL
2.5,GE(O),SONARPUR-II,BTS 2G
2.5,GE(O),SONARPUR-II,BTS 3G
2.6,GE(O),CTD_HNV_GANGAJOARA BTS_10.123.138.248/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/2.6,CPAN DL
