Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
2004081101017,Baruipur -B3(CAT2) /1,ETH-1-1-17,1000 Base-TX,BARUIPUR_10.123.138.196/3.9==Baruipur -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link,-,-,View,Add
2004081101018,Baruipur -B3(CAT2) /1,ETH-1-1-18,1000 Base-TX,BARUIPUR_10.123.138.196/4.10==Baruipur -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link,-,-,View,Add
2004081101019,Baruipur -B3(CAT2) /1,ETH-1-1-19,1000 Base-TX,BARUIPUR_10.123.138.196/4.11==Baruipur -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link,-,-,View,Add
2004081101020,Baruipur -B3(CAT2) /1,ETH-1-1-20,1000 Base-TX,BARUIPUR EXNG A1_10.123.138.220/2.4==Baruipur -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link,-,-,View,Add
2004081101013,Baruipur -B3(CAT2) /1,ETH-1-1-13,10G,Baruipur -B3(CAT2) /1/ETH-1-1-13 ==Julpia-A3(CAT2)/1/ETH-1-1-14,MAAN TL,-,-,View,Add
2004081101014,Baruipur -B3(CAT2) /1,ETH-1-1-14,10G,Baruipur -B3(CAT2) /1/ETH-1-1-14 ==Harinavi -B3(CAT2) /1/ETH-1-1-14,MAAN TL,-,-,View,Add
2004081101015,Baruipur -B3(CAT2) /1,ETH-1-1-15,10G,-,Unbound,-,-,View,Add
2004081101016,Baruipur -B3(CAT2) /1,ETH-1-1-16,10G,-,Unbound,-,-,View,Add
2004081101001,Baruipur -B3(CAT2) /1,ETH-1-1-1,1G,-,Unbound,-,-,View,Add
2004081101010,Baruipur -B3(CAT2) /1,ETH-1-1-10,1G,-,Unbound,-,-,View,Add
2004081101011,Baruipur -B3(CAT2) /1,ETH-1-1-11,1G,-,Unbound,-,-,View,Add
2004081101012,Baruipur -B3(CAT2) /1,ETH-1-1-12,1G,-,Unbound,-,-,View,Add
2004081101002,Baruipur -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-JOGIBARTALA,BTS 4G,-,-,View,Add
2004081101002,Baruipur -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-BARUIPUR-II,BTS 4G,-,-,View,Add
2004081101002,Baruipur -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-MAHINAGAR II,BTS 4G,-,-,View,Add
2004081101002,Baruipur -B3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-MALLICKPUR III,BTS 4G,-,-,View,Add
2004081101003,Baruipur -B3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-KALYANPUR CHANDIPUR,BTS 4G,-,-,View,Add
2004081101003,Baruipur -B3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-UTTAR KALYANPUR,BTS 4G,-,-,View,Add
2004081101003,Baruipur -B3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-BARUIPUR STATION BAZAR,BTS 4G,-,-,View,Add
2004081101003,Baruipur -B3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-KALYANPUR CHANDIPUR,BTS 4G,-,-,View,Add
2004081101003,Baruipur -B3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-UTTAR KALYANPUR,BTS 4G,-,-,View,Add
2004081101003,Baruipur -B3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-BARUIPUR STATION BAZAR,BTS 4G,-,-,View,Add
