SL NO.,EDIT,SDE,NODE IP,NODE NAME,NODE TYPE,"POWER OFF STATUS",1G Ports,10G Ports,100G Ports
,Total,Used,Spare,Used %,Total,Used,Spare,Used %,Total,Used,Spare,Used %
1,Edit,HNV,10.127.0.81,Baruipur -B3(CAT2) /1,B3(CAT2),,16,12,4,75%,4,2,2
2,Edit,HNV,10.127.0.67,Harinavi -B3(CAT2) /1,B3(CAT2),,16,12,4,75%,4,4,0
3,Edit,HNV,10.127.0.75,Kamalgazi BTS-A3(CAT2) /1,A3(CAT2)DC,,16,7,9,43.8%,2,2,0
4,Edit,HNV,10.127.0.74,Boral ROU-A3(CAT2)/1,A3(CAT2)DC,,16,4,12,25%,2,2,0
5,Edit,HNV,10.127.0.76,Sonarpur -A4(CAT2) /1,A4(CAT2)AC,,16,2,14,12.5%,2,2,0
6,Edit,JDP,10.127.0.14,Jadavpore -B4(CAT2) /1,B4(CAT2),,18,16,2,88.9%,10,9,1
7,Edit,JDP,10.127.0.80,Ranikuti RSU-A4(CAT2) /1,A4(CAT2)AC,,16,12,4,75%,2,2,0
8,Edit,JDP,10.127.0.77,Avidipta-A4(CAT2)/1,A4(CAT2)AC,,16,6,10,37.5%,2,2,0
9,Edit,JDP,10.127.0.78,Baishnabghata-A4(CAT1)/1,A4(CAT1)AC,,16,8,8,50%,2,2,0
10,Edit,JDP,10.127.0.79,Garia -A4(CAT1) /1,A4(CAT1)AC,,16,5,11,31.3%,2,2,0
11,Edit,KGT,10.127.0.7,Kalighat -C1/1,C1,,36,18,18,50%,32,6,26
12,Edit,RUSA,10.127.0.23,Russa -B3(CAT2) /1,B3(CAT2),,16,8,8,50%,4,2,2
13,Edit,RUSA,10.127.1.115,Kasba RSU-A4(CAT2) /1,A4(CAT2)AC,,16,4,12,25%,2,2,0
14,Edit,RUSA,10.127.1.114,Harish Park -A3(CAT2) /1,A3(CAT2)DC,,16,5,11,31.3%,2,2,0
TOTAL,246,119,127,48.4%,72,41,31,56.9%,6,6,0,100%
