Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138222101,AP NAGAR_10.123.138.222,1.1,E1,-,Unbound,-,-,View,Add
1138222102,AP NAGAR_10.123.138.222,1.2,E1,-,Unbound,-,-,View,Add
1138222201,AP NAGAR_10.123.138.222,2.1,E1,-,Unbound,-,-,View,Add
1138222202,AP NAGAR_10.123.138.222,2.2,E1,-,Unbound,-,-,View,Add
1138222103,AP NAGAR_10.123.138.222,1.3,FE/GE(E),CTD_HNV_AP NAGAR_10.123.138.198/3.7-CTD_HNV_AP NAGAR_10.123.138.222/1.3,CPAN DL,-,2025-11-19,View,Add
1138222104,AP NAGAR_10.123.138.222,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138222203,AP NAGAR_10.123.138.222,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138222204,AP NAGAR_10.123.138.222,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138222105,AP NAGAR_10.123.138.222,1.5,GE(O),-,Unbound,-,-,View,Add
1138222106,AP NAGAR_10.123.138.222,1.6,GE(O),SONARPUR BAZAR,BTS 2G,-,2025-11-19,View,Add
1138222106,AP NAGAR_10.123.138.222,1.6,GE(O),SONARPUR BAZAR,BTS 3G,-,2025-11-19,View,Add
1138222106,AP NAGAR_10.123.138.222,1.6,GE(O),SREEKHANDA KALVART,BTS 4G,-,2025-11-19,View,Add
1138222205,AP NAGAR_10.123.138.222,2.5,GE(O),CTD_HNV_SONARPUR EX_10.123.138.221/2.5-CTD_HNV_AP NAGAR_10.123.138.222/2.5,CPAN DL,-,2025-11-19,View,Add
1138222206,AP NAGAR_10.123.138.222,2.6,GE(O),-,Unbound,-,-,View,Add
