Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138249101,BARENDRA PARA BTS_10.123.138.249,1.1,E1,-,Unbound,-,-,View,Add
1138249102,BARENDRA PARA BTS_10.123.138.249,1.2,E1,-,Unbound,-,-,View,Add
1138249201,BARENDRA PARA BTS_10.123.138.249,2.1,E1,-,Unbound,-,-,View,Add
1138249202,BARENDRA PARA BTS_10.123.138.249,2.2,E1,-,Unbound,-,-,View,Add
1138249103,BARENDRA PARA BTS_10.123.138.249,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138249104,BARENDRA PARA BTS_10.123.138.249,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138249203,BARENDRA PARA BTS_10.123.138.249,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138249204,BARENDRA PARA BTS_10.123.138.249,2.4,FE/GE(E),BARENDRA PARA,BTS 4G,-,2025-11-19,View,Add
1138249105,BARENDRA PARA BTS_10.123.138.249,1.5,GE(O),CTD_HNV_BARENDRA PARA BTS_10.123.138.249/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.6,CPAN DL,-,2025-11-19,View,Add
1138249106,BARENDRA PARA BTS_10.123.138.249,1.6,GE(O),BARENDRA_PARA,BTS 2G,-,2025-11-19,View,Add
1138249106,BARENDRA PARA BTS_10.123.138.249,1.6,GE(O),BARENDRA_PARA,BTS 3G,-,2025-11-19,View,Add
1138249205,BARENDRA PARA BTS_10.123.138.249,2.5,GE(O),CTD_HNV_RAJPUR SARKARPARA_10.123.138.215/1.5-CTD_HNV_BARENDRA PARA BTS_10.123.138.249/2.5,CPAN DL,-,2025-11-19,View,Add
1138249206,BARENDRA PARA BTS_10.123.138.249,2.6,GE(O),-,Unbound,-,-,View,Add
