Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138216101,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.1,E1,-,Unbound,-,-,View,Add
1138216102,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.2,E1,-,Unbound,-,-,View,Add
1138216201,BARUI PUR RAIL CROSSING BTS_10.123.138.216,2.1,E1,-,Unbound,-,-,View,Add
1138216202,BARUI PUR RAIL CROSSING BTS_10.123.138.216,2.2,E1,-,Unbound,-,-,View,Add
1138216103,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.3,FE/GE(E),BARUIPUR RAIL CROSSING,BTS 2G,-,2025-11-19,View,Add
1138216103,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.3,FE/GE(E),BARUIPUR RAIL CROSSING,BTS 3G,-,2025-11-19,View,Add
1138216104,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138216203,BARUI PUR RAIL CROSSING BTS_10.123.138.216,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138216204,BARUI PUR RAIL CROSSING BTS_10.123.138.216,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138216105,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.5,GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/3.2-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/1.5,CPAN DL,-,2025-11-19,View,Add
1138216106,BARUI PUR RAIL CROSSING BTS_10.123.138.216,1.6,GE(O),BARUIPUR RAIL CROSSING,BTS 4G,-,2025-11-19,View,Add
1138216205,BARUI PUR RAIL CROSSING BTS_10.123.138.216,2.5,GE(O),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.5-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/2.5,CPAN DL,-,2025-11-19,View,Add
1138216206,BARUI PUR RAIL CROSSING BTS_10.123.138.216,2.6,GE(O),-,Unbound,-,-,View,Add
