Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138242101,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.1,E1,-,Unbound,-,-,View,Add
1138242102,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.2,E1,-,Unbound,-,-,View,Add
1138242201,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,2.1,E1,-,Unbound,-,-,View,Add
1138242202,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,2.2,E1,-,Unbound,-,-,View,Add
1138242103,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138242104,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.4,FE/GE(E),CTD_HNV_BARUIPUR BAZAR BTS NODE 2_10.123.138.243/1.3-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.4,CPAN DL,-,2025-11-19,View,Add
1138242203,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138242204,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138242105,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.2-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.5,CPAN DL,-,2025-11-19,View,Add
1138242106,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.6,GE(O),UTTAR KALYANPUR,BTS 2G,-,2025-11-19,View,Add
1138242106,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.6,GE(O),UTTAR KALYANPUR,BTS 3G,-,2025-11-19,View,Add
1138242106,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.6,GE(O),KALYANPUR CHANDIPUR,BTS 4G,-,2025-11-19,View,Add
1138242106,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,1.6,GE(O),UTTAR KALYANPUR,BTS 4G,-,2025-11-19,View,Add
1138242205,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,2.5,GE(O),-,Unbound,-,-,View,Add
1138242206,BARUIPUR BAZAR BTS NODE 1_10.123.138.242,2.6,GE(O),-,Unbound,-,-,View,Add
