Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138224101,BARUIPUR BDO NODE-2_10.123.138.224,1.1,E1,-,Unbound,-,-,View,Add
1138224102,BARUIPUR BDO NODE-2_10.123.138.224,1.2,E1,-,Unbound,-,-,View,Add
1138224201,BARUIPUR BDO NODE-2_10.123.138.224,2.1,E1,-,Unbound,-,-,View,Add
1138224202,BARUIPUR BDO NODE-2_10.123.138.224,2.2,E1,-,Unbound,-,-,View,Add
1138224103,BARUIPUR BDO NODE-2_10.123.138.224,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138224104,BARUIPUR BDO NODE-2_10.123.138.224,1.4,FE/GE(E),CTD_HNV_BARUIPUR BDO NODE-2_10.123.138.224/1.4-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.4,CPAN DL,-,2025-11-19,View,Add
1138224203,BARUIPUR BDO NODE-2_10.123.138.224,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138224204,BARUIPUR BDO NODE-2_10.123.138.224,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138224105,BARUIPUR BDO NODE-2_10.123.138.224,1.5,GE(O),-,Unbound,-,-,View,Add
1138224106,BARUIPUR BDO NODE-2_10.123.138.224,1.6,GE(O),-,Unbound,-,-,View,Add
1138224205,BARUIPUR BDO NODE-2_10.123.138.224,2.5,GE(O),-,Unbound,-,-,View,Add
1138224206,BARUIPUR BDO NODE-2_10.123.138.224,2.6,GE(O),-,Unbound,-,-,View,Add
