Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138212101,BARUIPUR BDO OFFICE_10.123.138.212,1.1,E1,-,Unbound,-,-,View,Add
1138212102,BARUIPUR BDO OFFICE_10.123.138.212,1.2,E1,-,Unbound,-,-,View,Add
1138212201,BARUIPUR BDO OFFICE_10.123.138.212,2.1,E1,-,Unbound,-,-,View,Add
1138212202,BARUIPUR BDO OFFICE_10.123.138.212,2.2,E1,-,Unbound,-,-,View,Add
1138212103,BARUIPUR BDO OFFICE_10.123.138.212,1.3,FE/GE(E),1000293301_WBSWAN_BARUIPUR_PHULTALA-138.212/1.3_138.1/3.7_3701_SHIFT,LEASED CKT,1000293301,2025-11-19,View,Add
1138212104,BARUIPUR BDO OFFICE_10.123.138.212,1.4,FE/GE(E),CTD_HNV_BARUIPUR BDO NODE-2_10.123.138.224/1.4-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.4,CPAN DL,-,2025-11-19,View,Add
1138212203,BARUIPUR BDO OFFICE_10.123.138.212,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138212204,BARUIPUR BDO OFFICE_10.123.138.212,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138212105,BARUIPUR BDO OFFICE_10.123.138.212,1.5,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.5-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.5,CPAN DL,-,2025-11-19,View,Add
1138212106,BARUIPUR BDO OFFICE_10.123.138.212,1.6,GE(O),-,Unbound,-,-,View,Add
1138212205,BARUIPUR BDO OFFICE_10.123.138.212,2.5,GE(O),-,Unbound,-,-,View,Add
1138212206,BARUIPUR BDO OFFICE_10.123.138.212,2.6,GE(O),-,Unbound,-,-,View,Add
