Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138220101,BARUIPUR EXNG A1_10.123.138.220,1.1,E1,-,Unbound,-,-,View,Add
1138220102,BARUIPUR EXNG A1_10.123.138.220,1.2,E1,-,Unbound,-,-,View,Add
1138220201,BARUIPUR EXNG A1_10.123.138.220,2.1,E1,-,Unbound,-,-,View,Add
1138220202,BARUIPUR EXNG A1_10.123.138.220,2.2,E1,-,Unbound,-,-,View,Add
1138220103,BARUIPUR EXNG A1_10.123.138.220,1.3,FE/GE(E),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.3-CTD_HNV_BARUIPUR_10.123.138.196/3.7,CPAN DL,-,2025-11-19,View,Add
1138220104,BARUIPUR EXNG A1_10.123.138.220,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138220203,BARUIPUR EXNG A1_10.123.138.220,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138220204,BARUIPUR EXNG A1_10.123.138.220,2.4,FE/GE(E),BARUIPUR EXNG A1_10.123.138.220/2.4==Baruipur -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link,-,2025-11-19,View,Add
1138220105,BARUIPUR EXNG A1_10.123.138.220,1.5,GE(O),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.5-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/2.5,CPAN DL,-,2025-11-19,View,Add
1138220106,BARUIPUR EXNG A1_10.123.138.220,1.6,GE(O),-,Unbound,-,-,View,Add
1138220205,BARUIPUR EXNG A1_10.123.138.220,2.5,GE(O),BARUIPUR EXCH$2,BTS 3G,-,2025-11-19,View,Add
1138220206,BARUIPUR EXNG A1_10.123.138.220,2.6,GE(O),BARUIPUR DUTTAPARA,BTS 2G,-,2025-11-19,View,Add
1138220206,BARUIPUR EXNG A1_10.123.138.220,2.6,GE(O),BARUIPUR DUTTAPARA,BTS 3G,-,2025-11-19,View,Add
