Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138207101,BARUIPUR II BTS_10.123.138.207,1.1,E1,-,Unbound,-,-,View,Add
1138207102,BARUIPUR II BTS_10.123.138.207,1.2,E1,-,Unbound,-,-,View,Add
1138207201,BARUIPUR II BTS_10.123.138.207,2.1,E1,-,Unbound,-,-,View,Add
1138207202,BARUIPUR II BTS_10.123.138.207,2.2,E1,-,Unbound,-,-,View,Add
1138207103,BARUIPUR II BTS_10.123.138.207,1.3,FE/GE(E),BARUIPUR II,BTS 2G,-,2025-11-19,View,Add
1138207103,BARUIPUR II BTS_10.123.138.207,1.3,FE/GE(E),BARUIPUR II,BTS 3G,-,2025-11-19,View,Add
1138207104,BARUIPUR II BTS_10.123.138.207,1.4,FE/GE(E),MALLICKPUR-III,BTS 2G,-,2025-11-19,View,Add
1138207104,BARUIPUR II BTS_10.123.138.207,1.4,FE/GE(E),MALLICKPUR-III,BTS 3G,-,2025-11-19,View,Add
1138207203,BARUIPUR II BTS_10.123.138.207,2.3,FE/GE(E),BARUIPUR-II,BTS 4G,-,2025-11-19,View,Add
1138207204,BARUIPUR II BTS_10.123.138.207,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138207105,BARUIPUR II BTS_10.123.138.207,1.5,GE(O),CTD_HNV_GOBINDAPUR BTS_10.123.138.206/2.5-CTD_HNV_BARUIPUR II BTS_10.123.138.207/1.5,CPAN DL,-,2025-11-19,View,Add
1138207106,BARUIPUR II BTS_10.123.138.207,1.6,GE(O),MAHINAGAR II,BTS 3G,-,2025-11-19,View,Add
1138207106,BARUIPUR II BTS_10.123.138.207,1.6,GE(O),MAHINAGAR II,BTS 4G,-,2025-11-19,View,Add
1138207205,BARUIPUR II BTS_10.123.138.207,2.5,GE(O),CTD_HNV_JOGIBARTALA BTS_10.123.138.208/1.5-CTD_HNV_BARUIPUR II BTS_10.123.138.207/2.5,CPAN DL,-,2025-11-19,View,Add
1138207206,BARUIPUR II BTS_10.123.138.207,2.6,GE(O),-,Unbound,-,-,View,Add
