Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138211101,BARUIPUR III BTS_10.123.138.211,1.1,E1,-,Unbound,-,-,View,Add
1138211102,BARUIPUR III BTS_10.123.138.211,1.2,E1,-,Unbound,-,-,View,Add
1138211201,BARUIPUR III BTS_10.123.138.211,2.1,E1,-,Unbound,-,-,View,Add
1138211202,BARUIPUR III BTS_10.123.138.211,2.2,E1,-,Unbound,-,-,View,Add
1138211103,BARUIPUR III BTS_10.123.138.211,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138211104,BARUIPUR III BTS_10.123.138.211,1.4,FE/GE(E),BARUIPUR KALYANPUR,BTS 2G,-,2025-11-19,View,Add
1138211104,BARUIPUR III BTS_10.123.138.211,1.4,FE/GE(E),BARUIPUR KALYANPUR,BTS 3G,-,2025-11-19,View,Add
1138211104,BARUIPUR III BTS_10.123.138.211,1.4,FE/GE(E),Baruipur Kalyanpur,BTS 4G,-,2025-11-19,View,Add
1138211203,BARUIPUR III BTS_10.123.138.211,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138211204,BARUIPUR III BTS_10.123.138.211,2.4,FE/GE(E),BARUIPUR-3,BTS 4G,-,2025-11-19,View,Add
1138211105,BARUIPUR III BTS_10.123.138.211,1.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.5-CTD_HNV_BARUIPUR III BTS_10.123.138.211/1.5,CPAN DL,-,2025-11-19,View,Add
1138211106,BARUIPUR III BTS_10.123.138.211,1.6,GE(O),BARUIPUR 3,BTS 2G,-,2025-11-19,View,Add
1138211106,BARUIPUR III BTS_10.123.138.211,1.6,GE(O),BARUIPUR 3,BTS 3G,-,2025-11-19,View,Add
1138211205,BARUIPUR III BTS_10.123.138.211,2.5,GE(O),-,Unbound,-,-,View,Add
1138211206,BARUIPUR III BTS_10.123.138.211,2.6,GE(O),SASAN BARUIPUR,BTS 3G,-,2025-11-19,View,Add
1138211206,BARUIPUR III BTS_10.123.138.211,2.6,GE(O),Sasan_Baruipur,BTS 4G,-,2025-11-19,View,Add
