Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138241101,BARUIPUR NODE 4_10.123.138.241,1.1,E1,-,Unbound,-,-,View,Add
1138241102,BARUIPUR NODE 4_10.123.138.241,1.2,E1,-,Unbound,-,-,View,Add
1138241201,BARUIPUR NODE 4_10.123.138.241,2.1,E1,-,Unbound,-,-,View,Add
1138241202,BARUIPUR NODE 4_10.123.138.241,2.2,E1,-,Unbound,-,-,View,Add
1138241103,BARUIPUR NODE 4_10.123.138.241,1.3,FE/GE(E),CTD_HNV_BARUIPUR NODE 3_10.123.138.240/1.4-CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.3,CPAN DL,-,2025-11-19,View,Add
1138241104,BARUIPUR NODE 4_10.123.138.241,1.4,FE/GE(E),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.4-CTD_HNV_BARUIPUR_10.123.138.196/3.10,CPAN DL,-,2025-11-19,View,Add
1138241203,BARUIPUR NODE 4_10.123.138.241,2.3,FE/GE(E),BARUIPUR (NIRALA ROAD),BTS 4G,-,2025-11-19,View,Add
1138241204,BARUIPUR NODE 4_10.123.138.241,2.4,FE/GE(E),CTD_HNV_BARUIPUR_10.123.138.196/4.9-CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.4,CPAN DL,-,2025-11-19,View,Add
1138241105,BARUIPUR NODE 4_10.123.138.241,1.5,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.5-CTD_HNV_BARUIPUR BDO OFFICE_10.123.138.212/1.5,CPAN DL,-,2025-11-19,View,Add
1138241106,BARUIPUR NODE 4_10.123.138.241,1.6,GE(O),-,Unbound,-,-,View,Add
1138241205,BARUIPUR NODE 4_10.123.138.241,2.5,GE(O),-,Unbound,-,-,View,Add
1138241206,BARUIPUR NODE 4_10.123.138.241,2.6,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.6-CTD_HNV_KALYANPUR RSU_10.123.138.232/1.5,CPAN DL,-,2025-11-19,View,Add
