Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1136022101,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,1.1,E1,-,Unbound,-,-,View,Add
1136022102,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,1.2,E1,-,Unbound,-,-,View,Add
1136022201,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,2.1,E1,-,Unbound,-,-,View,Add
1136022202,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,2.2,E1,-,Unbound,-,-,View,Add
1136022103,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,1.3,FE/GE(E),1000470011-DIR-CORR-HOME_29.229/1.3_KGT-138.65/3.8_3855,LEASED CKT,1000470011,-,View,Add
1136022104,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1136022203,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1136022204,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1136022105,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,1.5,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/2.5-CTD_BHL_BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22/1.5,CPAN DL,-,-,View,Add
1136022106,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,1.6,GE(O),1000282563-REG-GEN-HIGH-COURT_29.229/1.6_KGT-138.65/3.8_3862,LEASED CKT,1000282563,-,View,Add
1136022205,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,2.5,GE(O),CTD_BHL_BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22/2.5-CTD_HNV_GOBINDAPUR_10.123.138.195/5.2,CPAN DL,-,-,View,Add
1136022206,BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22,2.6,GE(O),-,Unbound,-,-,View,Add
