Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1029225101,BORAL ROU A1_10.123.29.225,1.1,E1,-,Unbound,-,-,View,Add
1029225102,BORAL ROU A1_10.123.29.225,1.2,E1,-,Unbound,-,-,View,Add
1029225201,BORAL ROU A1_10.123.29.225,2.1,E1,-,Unbound,-,-,View,Add
1029225202,BORAL ROU A1_10.123.29.225,2.2,E1,-,Unbound,-,-,View,Add
1029225103,BORAL ROU A1_10.123.29.225,1.3,FE/GE(E),BORAL,BTS 2G,-,2025-11-19,View,Add
1029225103,BORAL ROU A1_10.123.29.225,1.3,FE/GE(E),BORAL,BTS 3G,-,2025-11-19,View,Add
1029225104,BORAL ROU A1_10.123.29.225,1.4,FE/GE(E),BORAL,BTS 4G,-,2025-11-19,View,Add
1029225203,BORAL ROU A1_10.123.29.225,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1029225204,BORAL ROU A1_10.123.29.225,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1029225105,BORAL ROU A1_10.123.29.225,1.5,GE(O),CTD_HNV_SUNNY SEASON ROU A1 NODE 2_10.123.29.224/2.5-CTD_HNV_BORAL ROU A1_10.123.29.225/1.5,CPAN DL,-,2025-11-19,View,Add
1029225106,BORAL ROU A1_10.123.29.225,1.6,GE(O),CTD_HNV_BORAL ROU A1_10.123.29.225/1.6-CTD_HNV_KAMALGAJI_10.123.29.196/4.6,CPAN DL,-,2025-11-19,View,Add
1029225205,BORAL ROU A1_10.123.29.225,2.5,GE(O),CTD_HNV_HNV Tx A1_10.123.138.233/1.5-CTD_HNV_BORAL ROU A1_10.123.29.225/2.5,CPAN DL,-,2025-11-19,View,Add
1029225206,BORAL ROU A1_10.123.29.225,2.6,GE(O),CTD_HNV_BORAL ROU A1_10.123.29.225/2.6-CTD_HNV_PRAN BORAL BTS_10.123.29.209/1.5,CPAN DL,-,2025-11-19,View,Add
