Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138250101,CHOWHATI POLEHAT BTS_10.123.138.250,1.1,E1,-,Unbound,-,-,View,Add
1138250102,CHOWHATI POLEHAT BTS_10.123.138.250,1.2,E1,-,Unbound,-,-,View,Add
1138250201,CHOWHATI POLEHAT BTS_10.123.138.250,2.1,E1,-,Unbound,-,-,View,Add
1138250202,CHOWHATI POLEHAT BTS_10.123.138.250,2.2,E1,-,Unbound,-,-,View,Add
1138250103,CHOWHATI POLEHAT BTS_10.123.138.250,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138250104,CHOWHATI POLEHAT BTS_10.123.138.250,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138250203,CHOWHATI POLEHAT BTS_10.123.138.250,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138250204,CHOWHATI POLEHAT BTS_10.123.138.250,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138250105,CHOWHATI POLEHAT BTS_10.123.138.250,1.5,GE(O),CTD_HNV_CHOWHATI POLEHAT BTS_10.123.138.250/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.5,CPAN DL,-,2025-11-19,View,Add
1138250106,CHOWHATI POLEHAT BTS_10.123.138.250,1.6,GE(O),-,Unbound,-,-,View,Add
1138250205,CHOWHATI POLEHAT BTS_10.123.138.250,2.5,GE(O),-,Unbound,-,-,View,Add
1138250206,CHOWHATI POLEHAT BTS_10.123.138.250,2.6,GE(O),CTD_HNV_CHOWHATI POLEHAT BTS_10.123.138.250/2.6-CTD_HNV_SARMASTAPUR_10.123.138.210/2.6,CPAN DL,-,2025-11-19,View,Add
