Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138209101,DAKSHIN CHOWHATI_10.123.138.209,1.1,E1,-,Unbound,-,-,View,Add
1138209102,DAKSHIN CHOWHATI_10.123.138.209,1.2,E1,-,Unbound,-,-,View,Add
1138209201,DAKSHIN CHOWHATI_10.123.138.209,2.1,E1,-,Unbound,-,-,View,Add
1138209202,DAKSHIN CHOWHATI_10.123.138.209,2.2,E1,-,Unbound,-,-,View,Add
1138209103,DAKSHIN CHOWHATI_10.123.138.209,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138209104,DAKSHIN CHOWHATI_10.123.138.209,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138209203,DAKSHIN CHOWHATI_10.123.138.209,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138209204,DAKSHIN CHOWHATI_10.123.138.209,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138209105,DAKSHIN CHOWHATI_10.123.138.209,1.5,GE(O),CTD_HNV_DAKSHIN CHOWHATI_10.123.138.209/1.5-CTD_HNV_HARINAVI_10.123.138.193_GNE/4.4,CPAN DL,-,2025-11-19,View,Add
1138209106,DAKSHIN CHOWHATI_10.123.138.209,1.6,GE(O),-,Unbound,-,-,View,Add
1138209205,DAKSHIN CHOWHATI_10.123.138.209,2.5,GE(O),CTD_HNV_DAKSHIN CHOWHATI_10.123.138.209/2.5-CTD_HNV_SARMASTAPUR_10.123.138.210/1.5,CPAN DL,-,2025-11-19,View,Add
1138209206,DAKSHIN CHOWHATI_10.123.138.209,2.6,GE(O),-,Unbound,-,-,View,Add
