Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1136035101,DRDO BARUIPUR_10.123.136.35,1.1,E1,-,Unbound,-,-,View,Add
1136035102,DRDO BARUIPUR_10.123.136.35,1.2,E1,-,Unbound,-,-,View,Add
1136035201,DRDO BARUIPUR_10.123.136.35,2.1,E1,-,Unbound,-,-,View,Add
1136035202,DRDO BARUIPUR_10.123.136.35,2.2,E1,-,Unbound,-,-,View,Add
1136035103,DRDO BARUIPUR_10.123.136.35,1.3,FE/GE(E),1000474262_DRDO_BARUIPUR_29.246_25.65/5.5_vlan-4008,LEASED CKT,1000474262,2025-11-19,View,Add
1136035104,DRDO BARUIPUR_10.123.136.35,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1136035203,DRDO BARUIPUR_10.123.136.35,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1136035204,DRDO BARUIPUR_10.123.136.35,2.4,FE/GE(E),1000559335_DRDO-HQ_136.35/2.4_138.1/38.1/6.7_4006,LEASED CKT,1000559335,2025-11-19,View,Add
1136035105,DRDO BARUIPUR_10.123.136.35,1.5,GE(O),CTD_BHL_JULPIA_10.123.136.3/3.4-CTD_HNV_DRDO BARUIPUR_10.123.136.35/1.5,CPAN DL,-,2025-11-19,View,Add
1136035106,DRDO BARUIPUR_10.123.136.35,1.6,GE(O),CTD_BHL_BHL-TX-NODE-2_10.123.136.39/1.6-CTD_HNV_DRDO BARUIPUR_10.123.136.35/1.6,CPAN DL,-,2025-11-19,View,Add
1136035205,DRDO BARUIPUR_10.123.136.35,2.5,GE(O),-,Unbound,-,-,View,Add
1136035206,DRDO BARUIPUR_10.123.136.35,2.6,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/1.5-CTD_HNV_DRDO BARUIPUR_10.123.136.35/2.6,CPAN DL,-,2025-11-19,View,Add
