Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138047101,FARTABAD ROU_10.123.138.47,1.1,E1,-,Unbound,-,-,View,Add
1138047102,FARTABAD ROU_10.123.138.47,1.2,E1,-,Unbound,-,-,View,Add
1138047201,FARTABAD ROU_10.123.138.47,2.1,E1,-,Unbound,-,-,View,Add
1138047202,FARTABAD ROU_10.123.138.47,2.2,E1,-,Unbound,-,-,View,Add
1138047103,FARTABAD ROU_10.123.138.47,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138047104,FARTABAD ROU_10.123.138.47,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138047203,FARTABAD ROU_10.123.138.47,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138047204,FARTABAD ROU_10.123.138.47,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138047105,FARTABAD ROU_10.123.138.47,1.5,GE(O),CTD_HNV_FARTABAD ROU_10.123.138.47/1.5-CTD_HNV_HHC ROU_10.123.138.46/2.5,CPAN DL,-,2025-11-19,View,Add
1138047106,FARTABAD ROU_10.123.138.47,1.6,GE(O),MAHAMAYAPUR,BTS 3G,-,2025-11-19,View,Add
1138047106,FARTABAD ROU_10.123.138.47,1.6,GE(O),Mahamayapur,BTS 4G,-,2025-11-19,View,Add
1138047205,FARTABAD ROU_10.123.138.47,2.5,GE(O),CTD_JDP_BAISHNAVGHATA ROU A1_10.123.138.23/1.5-CTD_HNV_FARTABAD ROU_10.123.138.47/2.5,CPAN DL,-,2025-11-19,View,Add
1138047206,FARTABAD ROU_10.123.138.47,2.6,GE(O),FARTABAD,BTS 2G,-,2025-11-19,View,Add
1138047206,FARTABAD ROU_10.123.138.47,2.6,GE(O),FARTABAD,BTS 3G,-,2025-11-19,View,Add
1138047206,FARTABAD ROU_10.123.138.47,2.6,GE(O),FARTABAD,BTS 4G,-,2025-11-19,View,Add
