Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138248101,GANGAJOARA BTS_10.123.138.248,1.1,E1,-,Unbound,-,-,View,Add
1138248102,GANGAJOARA BTS_10.123.138.248,1.2,E1,-,Unbound,-,-,View,Add
1138248201,GANGAJOARA BTS_10.123.138.248,2.1,E1,-,Unbound,-,-,View,Add
1138248202,GANGAJOARA BTS_10.123.138.248,2.2,E1,-,Unbound,-,-,View,Add
1138248103,GANGAJOARA BTS_10.123.138.248,1.3,FE/GE(E),GANGAJORA,BTS 2G,-,2025-11-19,View,Add
1138248103,GANGAJOARA BTS_10.123.138.248,1.3,FE/GE(E),GANGAJORA,BTS 3G,-,2025-11-19,View,Add
1138248104,GANGAJOARA BTS_10.123.138.248,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138248203,GANGAJOARA BTS_10.123.138.248,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138248204,GANGAJOARA BTS_10.123.138.248,2.4,FE/GE(E),GANGAJORA,BTS 4G,-,2025-11-19,View,Add
1138248105,GANGAJOARA BTS_10.123.138.248,1.5,GE(O),CTD_HNV_GANGAJOARA BTS_10.123.138.248/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/2.6,CPAN DL,-,2025-11-19,View,Add
1138248106,GANGAJOARA BTS_10.123.138.248,1.6,GE(O),SONARPUR BADAMTALA,BTS 3G,-,2025-11-19,View,Add
1138248205,GANGAJOARA BTS_10.123.138.248,2.5,GE(O),-,Unbound,-,-,View,Add
1138248206,GANGAJOARA BTS_10.123.138.248,2.6,GE(O),SONARPUR KURIGACHI,BTS 2G,-,2025-11-19,View,Add
1138248206,GANGAJOARA BTS_10.123.138.248,2.6,GE(O),SONARPUR KURIGACHI,BTS 3G,-,2025-11-19,View,Add
1138248206,GANGAJOARA BTS_10.123.138.248,2.6,GE(O),SONARPUR KURIGACHI,BTS 4G,-,2025-11-19,View,Add
