Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138206101,GOBINDAPUR BTS_10.123.138.206,1.1,E1,-,Unbound,-,-,View,Add
1138206102,GOBINDAPUR BTS_10.123.138.206,1.2,E1,-,Unbound,-,-,View,Add
1138206201,GOBINDAPUR BTS_10.123.138.206,2.1,E1,-,Unbound,-,-,View,Add
1138206202,GOBINDAPUR BTS_10.123.138.206,2.2,E1,-,Unbound,-,-,View,Add
1138206103,GOBINDAPUR BTS_10.123.138.206,1.3,FE/GE(E),GOBINDAPUR,BTS 3G,-,2025-11-19,View,Add
1138206104,GOBINDAPUR BTS_10.123.138.206,1.4,FE/GE(E),South Gobindapur,BTS 2G,-,2025-11-19,View,Add
1138206104,GOBINDAPUR BTS_10.123.138.206,1.4,FE/GE(E),South Gobindapur,BTS 3G,-,2025-11-19,View,Add
1138206104,GOBINDAPUR BTS_10.123.138.206,1.4,FE/GE(E),South Gobindapur,BTS 4G,-,2025-11-19,View,Add
1138206203,GOBINDAPUR BTS_10.123.138.206,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138206204,GOBINDAPUR BTS_10.123.138.206,2.4,FE/GE(E),GOVINDAPUR,BTS 4G,-,2025-11-19,View,Add
1138206105,GOBINDAPUR BTS_10.123.138.206,1.5,GE(O),CTD_HNV_GOBINDAPUR BTS_10.123.138.206/1.5-CTD_HNV_MAHINAGAR BTS_10.123.138.205/2.5,CPAN DL,-,2025-11-19,View,Add
1138206106,GOBINDAPUR BTS_10.123.138.206,1.6,GE(O),-,Unbound,-,-,View,Add
1138206205,GOBINDAPUR BTS_10.123.138.206,2.5,GE(O),CTD_HNV_GOBINDAPUR BTS_10.123.138.206/2.5-CTD_HNV_BARUIPUR II BTS_10.123.138.207/1.5,CPAN DL,-,2025-11-19,View,Add
1138206206,GOBINDAPUR BTS_10.123.138.206,2.6,GE(O),-,Unbound,-,-,View,Add
