Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138225101,HARINAVI EXCH A1_10.123.138.225,1.1,E1,-,Unbound,-,-,View,Add
1138225102,HARINAVI EXCH A1_10.123.138.225,1.2,E1,-,Unbound,-,-,View,Add
1138225201,HARINAVI EXCH A1_10.123.138.225,2.1,E1,-,Unbound,-,-,View,Add
1138225202,HARINAVI EXCH A1_10.123.138.225,2.2,E1,-,Unbound,-,-,View,Add
1138225103,HARINAVI EXCH A1_10.123.138.225,1.3,FE/GE(E),CTD_HNV_HARINAVI EXCH A1_10.123.138.225/1.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/3.7,CPAN DL,-,2025-11-19,View,Add
1138225104,HARINAVI EXCH A1_10.123.138.225,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138225203,HARINAVI EXCH A1_10.123.138.225,2.3,FE/GE(E),CTD_HNV_HARINAVI EXCH A1_10.123.138.225/2.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.7,CPAN DL,-,2025-11-19,View,Add
1138225204,HARINAVI EXCH A1_10.123.138.225,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138225105,HARINAVI EXCH A1_10.123.138.225,1.5,GE(O),-,Unbound,-,-,View,Add
1138225106,HARINAVI EXCH A1_10.123.138.225,1.6,GE(O),-,Unbound,-,-,View,Add
1138225205,HARINAVI EXCH A1_10.123.138.225,2.5,GE(O),-,Unbound,-,-,View,Add
1138225206,HARINAVI EXCH A1_10.123.138.225,2.6,GE(O),BORAL MAJHERPARA,BTS 3G,-,2025-11-19,View,Add
1138225206,HARINAVI EXCH A1_10.123.138.225,2.6,GE(O),BORAL MAJHERPARA,BTS 4G,-,2025-11-19,View,Add
