Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138253101,HARINAVI EXCH NODE 7_10.123.138.253,1.1,E1,-,Unbound,-,-,View,Add
1138253102,HARINAVI EXCH NODE 7_10.123.138.253,1.2,E1,-,Unbound,-,-,View,Add
1138253201,HARINAVI EXCH NODE 7_10.123.138.253,2.1,E1,-,Unbound,-,-,View,Add
1138253202,HARINAVI EXCH NODE 7_10.123.138.253,2.2,E1,-,Unbound,-,-,View,Add
1138253103,HARINAVI EXCH NODE 7_10.123.138.253,1.3,FE/GE(E),CTD_HNV_HARINAVI_10.123.138.193_GNE/3.11-CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/1.3,CPAN DL,-,2025-11-19,View,Add
1138253104,HARINAVI EXCH NODE 7_10.123.138.253,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138253203,HARINAVI EXCH NODE 7_10.123.138.253,2.3,FE/GE(E),CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/2.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/4.10,CPAN DL,-,2025-11-19,View,Add
1138253204,HARINAVI EXCH NODE 7_10.123.138.253,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138253105,HARINAVI EXCH NODE 7_10.123.138.253,1.5,GE(O),CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/1.5-CTD_HNV_SHERWOOD RLU NODE 2_10.123.138.254/1.5,CPAN DL,-,2025-11-19,View,Add
1138253106,HARINAVI EXCH NODE 7_10.123.138.253,1.6,GE(O),-,Unbound,-,-,View,Add
1138253205,HARINAVI EXCH NODE 7_10.123.138.253,2.5,GE(O),CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/2.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/1.5,CPAN DL,-,2025-11-19,View,Add
1138253206,HARINAVI EXCH NODE 7_10.123.138.253,2.6,GE(O),Rajpur Chandibari,BTS 2G,-,2025-11-19,View,Add
1138253206,HARINAVI EXCH NODE 7_10.123.138.253,2.6,GE(O),Rajpur Chandibari,BTS 3G,-,2025-11-19,View,Add
