Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138229101,HARINAVI EXCH_10.123.138.229,1.1,E1,-,Unbound,-,-,View,Add
1138229102,HARINAVI EXCH_10.123.138.229,1.2,E1,-,Unbound,-,-,View,Add
1138229201,HARINAVI EXCH_10.123.138.229,2.1,E1,-,Unbound,-,-,View,Add
1138229202,HARINAVI EXCH_10.123.138.229,2.2,E1,-,Unbound,-,-,View,Add
1138229103,HARINAVI EXCH_10.123.138.229,1.3,FE/GE(E),CTD_HNV_HARINAVI_10.123.138.193_GNE/3.9-CTD_HNV_HARINAVI EXCH_10.123.138.229/1.3,CPAN DL,-,2025-11-19,View,Add
1138229104,HARINAVI EXCH_10.123.138.229,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138229203,HARINAVI EXCH_10.123.138.229,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138229204,HARINAVI EXCH_10.123.138.229,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138229105,HARINAVI EXCH_10.123.138.229,1.5,GE(O),-,Unbound,-,-,View,Add
1138229106,HARINAVI EXCH_10.123.138.229,1.6,GE(O),-,Unbound,-,-,View,Add
1138229205,HARINAVI EXCH_10.123.138.229,2.5,GE(O),CTD_HNV_HR K MISSION ROU_10.123.138.230/1.5-CTD_HNV_HARINAVI EXCH_10.123.138.229/2.5,CPAN DL,-,2025-11-19,View,Add
1138229206,HARINAVI EXCH_10.123.138.229,2.6,GE(O),-,Unbound,-,-,View,Add
