Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138238101,HNV TX A1-2_10.123.138.238,1.1,E1,-,Unbound,-,-,View,Add
1138238102,HNV TX A1-2_10.123.138.238,1.2,E1,-,Unbound,-,-,View,Add
1138238201,HNV TX A1-2_10.123.138.238,2.1,E1,-,Unbound,-,-,View,Add
1138238202,HNV TX A1-2_10.123.138.238,2.2,E1,-,Unbound,-,-,View,Add
1138238103,HNV TX A1-2_10.123.138.238,1.3,FE/GE(E),CTD_HNV_HNV TX A1-2_10.123.138.238/1.3-CTD_HNV_HNV TX A1_10.123.138.217/1.3,CPAN DL,-,2025-11-19,View,Add
1138238104,HNV TX A1-2_10.123.138.238,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138238203,HNV TX A1-2_10.123.138.238,2.3,FE/GE(E),NARENDRAPUR III,BTS 2G,-,2025-11-19,View,Add
1138238203,HNV TX A1-2_10.123.138.238,2.3,FE/GE(E),NARENDRAPUR III,BTS 3G,-,2025-11-19,View,Add
1138238203,HNV TX A1-2_10.123.138.238,2.3,FE/GE(E),NARENDRAPUR-III,BTS 4G,-,2025-11-19,View,Add
1138238204,HNV TX A1-2_10.123.138.238,2.4,FE/GE(E),SUBHASGRAM_PANCHGHARA,BTS 2G,-,2025-11-19,View,Add
1138238204,HNV TX A1-2_10.123.138.238,2.4,FE/GE(E),SUBHASGRAM_PANCHGHARA,BTS 3G,-,2025-11-19,View,Add
1138238204,HNV TX A1-2_10.123.138.238,2.4,FE/GE(E),SUBHASGRAM PANCHGHARA,BTS 4G,-,2025-11-19,View,Add
1138238204,HNV TX A1-2_10.123.138.238,2.4,FE/GE(E),MALLICKPUR II,BTS 4G,-,2025-11-19,View,Add
1138238105,HNV TX A1-2_10.123.138.238,1.5,GE(O),Ghoshpara Darir Road,BTS 4G,-,2025-11-19,View,Add
1138238106,HNV TX A1-2_10.123.138.238,1.6,GE(O),-,Unbound,-,-,View,Add
1138238205,HNV TX A1-2_10.123.138.238,2.5,GE(O),HARINAVI,BTS 4G,-,2025-11-19,View,Add
1138238206,HNV TX A1-2_10.123.138.238,2.6,GE(O),-,Unbound,-,-,View,Add
