Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138217101,HNV TX A1_10.123.138.217,1.1,E1,-,Unbound,-,-,View,Add
1138217102,HNV TX A1_10.123.138.217,1.2,E1,-,Unbound,-,-,View,Add
1138217201,HNV TX A1_10.123.138.217,2.1,E1,-,Unbound,-,-,View,Add
1138217202,HNV TX A1_10.123.138.217,2.2,E1,-,Unbound,-,-,View,Add
1138217103,HNV TX A1_10.123.138.217,1.3,FE/GE(E),CTD_HNV_HNV TX A1-2_10.123.138.238/1.3-CTD_HNV_HNV TX A1_10.123.138.217/1.3,CPAN DL,-,2025-11-19,View,Add
1138217104,HNV TX A1_10.123.138.217,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138217203,HNV TX A1_10.123.138.217,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138217204,HNV TX A1_10.123.138.217,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138217105,HNV TX A1_10.123.138.217,1.5,GE(O),CTD_HNV_HNV TX A1_10.123.138.217/1.5-CTD_HNV_HARINAVI_10.123.138.193_GNE/5.2,CPAN DL,-,2025-11-19,View,Add
1138217106,HNV TX A1_10.123.138.217,1.6,GE(O),SUBHASGRAM,BTS 3G,-,2025-11-19,View,Add
1138217106,HNV TX A1_10.123.138.217,1.6,GE(O),SUBHASHGRAM KODALIA,BTS 3G,-,2025-11-19,View,Add
1138217106,HNV TX A1_10.123.138.217,1.6,GE(O),SUBHASGRAM,BTS 4G,-,2025-11-19,View,Add
1138217205,HNV TX A1_10.123.138.217,2.5,GE(O),CTD_HNV_HNV TX A1_10.123.138.217/2.5-CTD_HNV_SUBHASGRAM BANKPLOT BTS_10.123.138.219/1.5,CPAN DL,-,2025-11-19,View,Add
1138217206,HNV TX A1_10.123.138.217,2.6,GE(O),Chowhati Polehat,BTS 2G,-,2025-11-19,View,Add
1138217206,HNV TX A1_10.123.138.217,2.6,GE(O),Chowhati Polehat,BTS 3G,-,2025-11-19,View,Add
