Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138233101,HNV Tx A1_10.123.138.233,1.1,E1,-,Unbound,-,-,View,Add
1138233102,HNV Tx A1_10.123.138.233,1.2,E1,-,Unbound,-,-,View,Add
1138233201,HNV Tx A1_10.123.138.233,2.1,E1,-,Unbound,-,-,View,Add
1138233202,HNV Tx A1_10.123.138.233,2.2,E1,-,Unbound,-,-,View,Add
1138233103,HNV Tx A1_10.123.138.233,1.3,FE/GE(E),CTD_HNV_HNV Tx A1_10.123.138.233/1.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/3.8,CPAN DL,-,2025-11-19,View,Add
1138233104,HNV Tx A1_10.123.138.233,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138233203,HNV Tx A1_10.123.138.233,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138233204,HNV Tx A1_10.123.138.233,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138233105,HNV Tx A1_10.123.138.233,1.5,GE(O),CTD_HNV_HNV Tx A1_10.123.138.233/1.5-CTD_HNV_BORAL ROU A1_10.123.29.225/2.5,CPAN DL,-,2025-11-19,View,Add
1138233106,HNV Tx A1_10.123.138.233,1.6,GE(O),Rajpur Nandannagar,BTS 2G,-,2025-11-19,View,Add
1138233106,HNV Tx A1_10.123.138.233,1.6,GE(O),Rajpur Nandannagar,BTS 3G,-,2025-11-19,View,Add
1138233106,HNV Tx A1_10.123.138.233,1.6,GE(O),Rajpur Nandannagar,BTS 4G,-,2025-11-19,View,Add
1138233205,HNV Tx A1_10.123.138.233,2.5,GE(O),-,Unbound,-,-,View,Add
1138233206,HNV Tx A1_10.123.138.233,2.6,GE(O),-,Unbound,-,-,View,Add
