Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138252101,JAGADAL 2 BTS_10.123.138.252,1.1,E1,-,Unbound,-,-,View,Add
1138252102,JAGADAL 2 BTS_10.123.138.252,1.2,E1,-,Unbound,-,-,View,Add
1138252201,JAGADAL 2 BTS_10.123.138.252,2.1,E1,-,Unbound,-,-,View,Add
1138252202,JAGADAL 2 BTS_10.123.138.252,2.2,E1,-,Unbound,-,-,View,Add
1138252103,JAGADAL 2 BTS_10.123.138.252,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138252104,JAGADAL 2 BTS_10.123.138.252,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138252203,JAGADAL 2 BTS_10.123.138.252,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138252204,JAGADAL 2 BTS_10.123.138.252,2.4,FE/GE(E),JAGATDAL-2,BTS 4G,-,2025-11-19,View,Add
1138252105,JAGADAL 2 BTS_10.123.138.252,1.5,GE(O),CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/2.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/1.5,CPAN DL,-,2025-11-19,View,Add
1138252106,JAGADAL 2 BTS_10.123.138.252,1.6,GE(O),-,Unbound,-,-,View,Add
1138252205,JAGADAL 2 BTS_10.123.138.252,2.5,GE(O),CTD_HNV_CHOWHATI POLEHAT BTS_10.123.138.250/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.5,CPAN DL,-,2025-11-19,View,Add
1138252206,JAGADAL 2 BTS_10.123.138.252,2.6,GE(O),CTD_HNV_RAMCHANDRAPUR_10.123.29.234/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.6,CPAN DL,-,2025-11-19,View,Add
