Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138208101,JOGIBARTALA BTS_10.123.138.208,1.1,E1,-,Unbound,-,-,View,Add
1138208102,JOGIBARTALA BTS_10.123.138.208,1.2,E1,-,Unbound,-,-,View,Add
1138208201,JOGIBARTALA BTS_10.123.138.208,2.1,E1,-,Unbound,-,-,View,Add
1138208202,JOGIBARTALA BTS_10.123.138.208,2.2,E1,-,Unbound,-,-,View,Add
1138208103,JOGIBARTALA BTS_10.123.138.208,1.3,FE/GE(E),JOGIBARTALA,BTS 2G,-,2025-11-19,View,Add
1138208103,JOGIBARTALA BTS_10.123.138.208,1.3,FE/GE(E),JOGIBARTALA,BTS 3G,-,2025-11-19,View,Add
1138208104,JOGIBARTALA BTS_10.123.138.208,1.4,FE/GE(E),JOGIBARTALA,BTS 4G,-,2025-11-19,View,Add
1138208203,JOGIBARTALA BTS_10.123.138.208,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138208204,JOGIBARTALA BTS_10.123.138.208,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138208105,JOGIBARTALA BTS_10.123.138.208,1.5,GE(O),CTD_HNV_JOGIBARTALA BTS_10.123.138.208/1.5-CTD_HNV_BARUIPUR II BTS_10.123.138.207/2.5,CPAN DL,-,2025-11-19,View,Add
1138208106,JOGIBARTALA BTS_10.123.138.208,1.6,GE(O),OLT_M/S ADITI ENTERPRISE_10.215.23.186,OLT,-,2025-11-19,View,Add
1138208205,JOGIBARTALA BTS_10.123.138.208,2.5,GE(O),CTD_HNV_GOBINDAPUR_10.123.138.195/3.2-CTD_HNV_JOGIBARTALA BTS_10.123.138.208/2.5,CPAN DL,-,2025-11-19,View,Add
1138208206,JOGIBARTALA BTS_10.123.138.208,2.6,GE(O),-,Unbound,-,-,View,Add
