Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
2004014101001,Jadavpore -B4(CAT2) /1,ETH-1-1-1,100G,Kalighat -C1/1/ETH-1-5-11 ==Jadavpore -B4(CAT2) /1/ETH-1-1-1,MAAN TL,-,2025-11-26,View,Add
2004014101002,Jadavpore -B4(CAT2) /1,ETH-1-1-2,100G,Behala -B4(CAT1) /1/ETH-1-1-1 ==Jadavpore -B4(CAT2) /1/ETH-1-1-2,MAAN TL,-,2025-11-26,View,Add
2004014101010,Jadavpore -B4(CAT2) /1,ETH-1-1-10,10G,Jadavpore -B4(CAT2) /1/ETH-1-1-10 ==Russa -B3(CAT2) /1/ETH-1-1-14,MAAN TL,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-EASTERN PARK,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-PURBANCHAL NORTH,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-JADAVPUR EXCH,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-HPD LANE,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-JORA BRIDGE EAST,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-BIKRAMGARH,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-Santoshpur,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-GARFA GUNAMONI,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-New Santoshpur,BTS 4G,-,2025-11-26,View,Add
2004014101011,Jadavpore -B4(CAT2) /1,ETH-1-1-11,10G,BTS 4G-BIKRAMGARH,BTS 4G,-,2025-11-26,View,Add
2004014101012,Jadavpore -B4(CAT2) /1,ETH-1-1-12,10G,BTS 4G-Ajoynagar,BTS 4G,-,2025-11-26,View,Add
2004014101013,Jadavpore -B4(CAT2) /1,ETH-1-1-13,10G,-,Unbound,-,-,View,Add
2004014101004,Jadavpore -B4(CAT2) /1,ETH-1-1-4,10G,Jadavpore -B4(CAT2) /1/ETH-1-1-4 ==Behala -B4(CAT1) /1/ETH-1-1-4,MAAN TL,-,2025-11-26,View,Add
2004014101005,Jadavpore -B4(CAT2) /1,ETH-1-1-5,10G,Ranikuti RSU-A4(CAT2) /1 /ETH-1-1-13 ==Jadavpore -B4(CAT2) /1/ETH-1-1-5,MAAN TL,-,2025-11-26,View,Add
2004014101006,Jadavpore -B4(CAT2) /1,ETH-1-1-6,10G,Harinavi -B3(CAT2) /1/ETH-1-1-13 ==Jadavpore -B4(CAT2) /1/ETH-1-1-6,MAAN TL,-,2025-11-26,View,Add
2004014101007,Jadavpore -B4(CAT2) /1,ETH-1-1-7,10G,Garia -A4(CAT1) /1/ETH-1-1-14 ==Jadavpore -B4(CAT2) /1/ETH-1-1-7,MAAN TL,-,2025-11-26,View,Add
2004014101008,Jadavpore -B4(CAT2) /1,ETH-1-1-8,10G,Jadavpore -B4(CAT2) /1/ETH-1-1-8 ==Baishnabghata-A4(CAT1)/1/ETH-1-1-14,MAAN TL,-,2025-11-26,View,Add
2004014101009,Jadavpore -B4(CAT2) /1,ETH-1-1-9,10G,Avidipta-A4(CAT2)/1/ETH-1-1-13 ==Jadavpore -B4(CAT2) /1/ETH-1-1-9,MAAN TL,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-EASTERN PARK,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-PURBANCHAL NORTH,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-JADAVPUR EXCH,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-HPD LANE,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-JORA BRIDGE EAST,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-Santoshpur,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-GARFA GUNAMONI,BTS 4G,-,2025-11-26,View,Add
2004014101014,Jadavpore -B4(CAT2) /1,ETH-1-1-14,1G,BTS 4G-New Santoshpur,BTS 4G,-,2025-11-26,View,Add
2004014101015,Jadavpore -B4(CAT2) /1,ETH-1-1-15,1G,-,Unbound,-,-,View,Add
