Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138232101,KALYANPUR RSU_10.123.138.232,1.1,E1,-,Unbound,-,-,View,Add
1138232102,KALYANPUR RSU_10.123.138.232,1.2,E1,-,Unbound,-,-,View,Add
1138232201,KALYANPUR RSU_10.123.138.232,2.1,E1,-,Unbound,-,-,View,Add
1138232202,KALYANPUR RSU_10.123.138.232,2.2,E1,-,Unbound,-,-,View,Add
1138232103,KALYANPUR RSU_10.123.138.232,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138232104,KALYANPUR RSU_10.123.138.232,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138232203,KALYANPUR RSU_10.123.138.232,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138232204,KALYANPUR RSU_10.123.138.232,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138232105,KALYANPUR RSU_10.123.138.232,1.5,GE(O),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/2.6-CTD_HNV_KALYANPUR RSU_10.123.138.232/1.5,CPAN DL,-,2025-11-19,View,Add
1138232106,KALYANPUR RSU_10.123.138.232,1.6,GE(O),KALYANPUR (DAKSHIN),BTS 2G,-,2025-11-19,View,Add
1138232106,KALYANPUR RSU_10.123.138.232,1.6,GE(O),KALYANPUR (DAKSHIN),BTS 3G,-,2025-11-19,View,Add
1138232205,KALYANPUR RSU_10.123.138.232,2.5,GE(O),CTD_BHL_JULPIA_10.123.136.3/4.5-CTD_HNV_KALYANPUR RSU_10.123.138.232/2.5,CPAN DL,-,2025-11-19,View,Add
1138232206,KALYANPUR RSU_10.123.138.232,2.6,GE(O),-,Unbound,-,-,View,Add
