Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1029230101,KAMALGAZI EX A1_10.123.29.230,1.1,E1,-,Unbound,-,-,View,Add
1029230102,KAMALGAZI EX A1_10.123.29.230,1.2,E1,-,Unbound,-,-,View,Add
1029230201,KAMALGAZI EX A1_10.123.29.230,2.1,E1,-,Unbound,-,-,View,Add
1029230202,KAMALGAZI EX A1_10.123.29.230,2.2,E1,-,Unbound,-,-,View,Add
1029230103,KAMALGAZI EX A1_10.123.29.230,1.3,FE/GE(E),CTD_HNV_KAMALGAJI_10.123.29.196/3.7-CTD_HNV_KAMALGAZI EX A1_10.123.29.230/1.3,CPAN DL,-,2025-11-19,View,Add
1029230104,KAMALGAZI EX A1_10.123.29.230,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1029230203,KAMALGAZI EX A1_10.123.29.230,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1029230204,KAMALGAZI EX A1_10.123.29.230,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1029230105,KAMALGAZI EX A1_10.123.29.230,1.5,GE(O),KAMALGAZI,BTS 2G,-,2025-11-19,View,Add
1029230105,KAMALGAZI EX A1_10.123.29.230,1.5,GE(O),KAMALGAZI,BTS 3G,-,2025-11-19,View,Add
1029230105,KAMALGAZI EX A1_10.123.29.230,1.5,GE(O),Ramchandrapur-II,BTS 3G,-,2025-11-19,View,Add
1029230105,KAMALGAZI EX A1_10.123.29.230,1.5,GE(O),Uddyan Palli(Rakshit More),BTS 4G,-,2025-11-19,View,Add
1029230105,KAMALGAZI EX A1_10.123.29.230,1.5,GE(O),Ramchandrapur II,BTS 4G,-,2025-11-19,View,Add
1029230105,KAMALGAZI EX A1_10.123.29.230,1.5,GE(O),Lashkarpur,BTS 4G,-,2025-11-19,View,Add
1029230106,KAMALGAZI EX A1_10.123.29.230,1.6,GE(O),KAMALGAZI PEYARABAGAN,BTS 2G,-,2025-11-19,View,Add
1029230106,KAMALGAZI EX A1_10.123.29.230,1.6,GE(O),KAMALGAZI PEYARABAGAN,BTS 3G,-,2025-11-19,View,Add
1029230106,KAMALGAZI EX A1_10.123.29.230,1.6,GE(O),Bager Khol Natunhat,BTS 4G,-,2025-11-19,View,Add
1029230205,KAMALGAZI EX A1_10.123.29.230,2.5,GE(O),-,Unbound,-,-,View,Add
1029230206,KAMALGAZI EX A1_10.123.29.230,2.6,GE(O),HINDUSTAN MORE,BTS 3G,-,2025-11-19,View,Add
1029230206,KAMALGAZI EX A1_10.123.29.230,2.6,GE(O),HINDUSTAN MORE,BTS 4G,-,2025-11-19,View,Add
