Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138204101,KODALIA BTS_10.123.138.204,1.1,E1,-,Unbound,-,-,View,Add
1138204102,KODALIA BTS_10.123.138.204,1.2,E1,-,Unbound,-,-,View,Add
1138204201,KODALIA BTS_10.123.138.204,2.1,E1,-,Unbound,-,-,View,Add
1138204202,KODALIA BTS_10.123.138.204,2.2,E1,-,Unbound,-,-,View,Add
1138204103,KODALIA BTS_10.123.138.204,1.3,FE/GE(E),KODALIA,BTS 2G,-,2025-11-19,View,Add
1138204103,KODALIA BTS_10.123.138.204,1.3,FE/GE(E),KODALIA,BTS 3G,-,2025-11-19,View,Add
1138204103,KODALIA BTS_10.123.138.204,1.3,FE/GE(E),JADAVPUR EXCH$2,BTS 3G,-,2025-11-19,View,Add
1138204104,KODALIA BTS_10.123.138.204,1.4,FE/GE(E),KODALIA,BTS 4G,-,2025-11-19,View,Add
1138204203,KODALIA BTS_10.123.138.204,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138204204,KODALIA BTS_10.123.138.204,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138204105,KODALIA BTS_10.123.138.204,1.5,GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/4.2-CTD_HNV_KODALIA BTS_10.123.138.204/1.5,CPAN DL,-,2025-11-19,View,Add
1138204106,KODALIA BTS_10.123.138.204,1.6,GE(O),-,Unbound,-,-,View,Add
1138204205,KODALIA BTS_10.123.138.204,2.5,GE(O),CTD_HNV_KODALIA BTS_10.123.138.204/2.5-CTD_HNV_MAHINAGAR BTS_10.123.138.205/1.5,CPAN DL,-,2025-11-19,View,Add
1138204206,KODALIA BTS_10.123.138.204,2.6,GE(O),-,Unbound,-,-,View,Add
