Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
2004007112001,Kalighat -C1/1,ETH-1-12-1,1000 BaseT,-,Unbound,-,-,View,Add
2004007112002,Kalighat -C1/1,ETH-1-12-2,1000 BaseT,-,Unbound,-,-,View,Add
2004007112003,Kalighat -C1/1,ETH-1-12-3,1000 BaseT,-,Unbound,-,-,View,Add
2004007112004,Kalighat -C1/1,ETH-1-12-4,1000 BaseT,-,Unbound,-,-,View,Add
2004007104005,Kalighat -C1/1,ETH-1-4-5,100G,Kalighat -C1/1/ETH-1-4-5 ==Circus -B4(CAT2) /1/ETH-1-1-1,MAAN TL,-,2025-12-06,View,Add
2004007104006,Kalighat -C1/1,ETH-1-4-6,100G,Kalighat -C1/1/ETH-1-4-6 == TB 5TH FLR -C1/2/ETH-1-4-6,MAAN TL,-,2025-12-06,View,Add
2004007105011,Kalighat -C1/1,ETH-1-5-11,100G,Kalighat -C1/1/ETH-1-5-11 ==Jadavpore -B4(CAT2) /1/ETH-1-1-1,MAAN TL,-,2025-12-06,View,Add
2004007106011,Kalighat -C1/1,ETH-1-6-11,100G,Kalighat -C1/1/ETH-1-6-11 ==Alipore-B4(CAT2) /1/ETH-1-1-1,MAAN TL,-,2025-12-06,View,Add
2004007104001,Kalighat -C1/1,ETH-1-4-1,10G,Kalighat -C1/1/ETH-1-4-1 ==Kasba RSU-A4(CAT2) /1 /ETH-1-1-13,MAAN TL,-,2025-12-06,View,Add
2004007104002,Kalighat -C1/1,ETH-1-4-2,10G,Kalighat -C1/1/ETH-1-4-2 ==Alipore-B4(CAT2) /1/ETH-1-1-4,MAAN TL,-,2025-12-06,View,Add
2004007104003,Kalighat -C1/1,ETH-1-4-3,10G,Picnic Garden RSU -A4(CAT2) /1 /ETH-1-1-14 ==Kalighat -C1/1/ETH-1-4-3,MAAN TL,-,2025-12-06,View,Add
2004007104004,Kalighat -C1/1,ETH-1-4-4,10G,Harish Park -A3(CAT2) /1/ETH-1-1-13 ==Kalighat -C1/1/ETH-1-4-4,MAAN TL,-,2025-12-06,View,Add
2004007105001,Kalighat -C1/1,ETH-1-5-1,10G,-,Unbound,-,-,View,Add
2004007105010,Kalighat -C1/1,ETH-1-5-10,10G,-,Unbound,-,-,View,Add
2004007105002,Kalighat -C1/1,ETH-1-5-2,10G,-,Unbound,-,-,View,Add
2004007105003,Kalighat -C1/1,ETH-1-5-3,10G,-,Unbound,-,-,View,Add
2004007105004,Kalighat -C1/1,ETH-1-5-4,10G,-,Unbound,-,-,View,Add
2004007105005,Kalighat -C1/1,ETH-1-5-5,10G,-,Unbound,-,-,View,Add
2004007105006,Kalighat -C1/1,ETH-1-5-6,10G,-,Unbound,-,-,View,Add
2004007105007,Kalighat -C1/1,ETH-1-5-7,10G,-,Unbound,-,-,View,Add
2004007105008,Kalighat -C1/1,ETH-1-5-8,10G,-,Unbound,-,-,View,Add
2004007105009,Kalighat -C1/1,ETH-1-5-9,10G,-,Unbound,-,-,View,Add
2004007106001,Kalighat -C1/1,ETH-1-6-1,10G,BTS 4G-NEW BALLYGANJ ROAD,BTS 4G,-,-,View,Add
2004007106010,Kalighat -C1/1,ETH-1-6-10,10G,-,Unbound,-,-,View,Add
2004007106002,Kalighat -C1/1,ETH-1-6-2,10G,-,Unbound,-,-,View,Add
2004007106003,Kalighat -C1/1,ETH-1-6-3,10G,-,Unbound,-,-,View,Add
2004007106004,Kalighat -C1/1,ETH-1-6-4,10G,-,Unbound,-,-,View,Add
2004007106005,Kalighat -C1/1,ETH-1-6-5,10G,-,Unbound,-,-,View,Add
2004007106006,Kalighat -C1/1,ETH-1-6-6,10G,-,Unbound,-,-,View,Add
2004007106007,Kalighat -C1/1,ETH-1-6-7,10G,-,Unbound,-,-,View,Add
2004007106008,Kalighat -C1/1,ETH-1-6-8,10G,-,Unbound,-,-,View,Add
2004007106009,Kalighat -C1/1,ETH-1-6-9,10G,-,Unbound,-,-,View,Add
2004007107001,Kalighat -C1/1,ETH-1-7-1,10G,Russa -B3(CAT2) /1/ETH-1-1-13 ==Kalighat -C1/1/ETH-1-7-1,MAAN TL,-,2025-12-06,View,Add
2004007107002,Kalighat -C1/1,ETH-1-7-2,10G,-,Unbound,-,-,View,Add
2004007107003,Kalighat -C1/1,ETH-1-7-3,10G,-,Unbound,-,-,View,Add
2004007107004,Kalighat -C1/1,ETH-1-7-4,10G,-,Unbound,-,-,View,Add
2004007107005,Kalighat -C1/1,ETH-1-7-5,10G,-,Unbound,-,-,View,Add
2004007107006,Kalighat -C1/1,ETH-1-7-6,10G,-,Unbound,-,-,View,Add
2004007107007,Kalighat -C1/1,ETH-1-7-7,10G,-,Unbound,-,-,View,Add
2004007107008,Kalighat -C1/1,ETH-1-7-8,10G,-,Unbound,-,-,View,Add
2004007115001,Kalighat -C1/1,ETH-1-15-1,1G,-,Unbound,-,-,View,Add
2004007115002,Kalighat -C1/1,ETH-1-15-2,1G,BONDEL ROAD,BTS 4G,-,2025-12-06,View,Add
2004007115003,Kalighat -C1/1,ETH-1-15-3,1G,-,Unbound,-,-,View,Add
2004007115004,Kalighat -C1/1,ETH-1-15-4,1G,BTS 4G-PRANTICPALLY,BTS 4G,-,2025-12-06,View,Add
2004007115004,Kalighat -C1/1,ETH-1-15-4,1G,BTS 4G-KALIGHAT,BTS 4G,-,2025-12-06,View,Add
2004007115004,Kalighat -C1/1,ETH-1-15-4,1G,BTS 4G-Kasba Gold Park,BTS 4G,-,-,View,Add
2004007115004,Kalighat -C1/1,ETH-1-15-4,1G,BTS 4G-Chakraberia(South),BTS 4G,-,-,View,Add
