Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138205101,MAHINAGAR BTS_10.123.138.205,1.1,E1,-,Unbound,-,-,View,Add
1138205102,MAHINAGAR BTS_10.123.138.205,1.2,E1,-,Unbound,-,-,View,Add
1138205201,MAHINAGAR BTS_10.123.138.205,2.1,E1,-,Unbound,-,-,View,Add
1138205202,MAHINAGAR BTS_10.123.138.205,2.2,E1,-,Unbound,-,-,View,Add
1138205103,MAHINAGAR BTS_10.123.138.205,1.3,FE/GE(E),MAHINAGAR,BTS 2G,-,2025-11-19,View,Add
1138205103,MAHINAGAR BTS_10.123.138.205,1.3,FE/GE(E),MAHINAGAR,BTS 3G,-,2025-11-19,View,Add
1138205104,MAHINAGAR BTS_10.123.138.205,1.4,FE/GE(E),MAHINAGAR,BTS 4G,-,2025-11-19,View,Add
1138205203,MAHINAGAR BTS_10.123.138.205,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138205204,MAHINAGAR BTS_10.123.138.205,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138205105,MAHINAGAR BTS_10.123.138.205,1.5,GE(O),CTD_HNV_KODALIA BTS_10.123.138.204/2.5-CTD_HNV_MAHINAGAR BTS_10.123.138.205/1.5,CPAN DL,-,2025-11-19,View,Add
1138205106,MAHINAGAR BTS_10.123.138.205,1.6,GE(O),-,Unbound,-,-,View,Add
1138205205,MAHINAGAR BTS_10.123.138.205,2.5,GE(O),CTD_HNV_GOBINDAPUR BTS_10.123.138.206/1.5-CTD_HNV_MAHINAGAR BTS_10.123.138.205/2.5,CPAN DL,-,-,View,Add
1138205206,MAHINAGAR BTS_10.123.138.205,2.6,GE(O),-,Unbound,-,-,View,Add
