Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1029229101,NARENDRAPUR II_10.123.29.229,1.1,E1,-,Unbound,-,-,View,Add
1029229102,NARENDRAPUR II_10.123.29.229,1.2,E1,-,Unbound,-,-,View,Add
1029229201,NARENDRAPUR II_10.123.29.229,2.1,E1,-,Unbound,-,-,View,Add
1029229202,NARENDRAPUR II_10.123.29.229,2.2,E1,-,Unbound,-,-,View,Add
1029229103,NARENDRAPUR II_10.123.29.229,1.3,FE/GE(E),NARENDRAPUR II,BTS 2G,-,2025-11-19,View,Add
1029229103,NARENDRAPUR II_10.123.29.229,1.3,FE/GE(E),NARENDRAPUR II,BTS 3G,-,2025-11-19,View,Add
1029229104,NARENDRAPUR II_10.123.29.229,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1029229203,NARENDRAPUR II_10.123.29.229,2.3,FE/GE(E),SONARPUR TEGHARIA,BTS 4G,-,2025-11-19,View,Add
1029229204,NARENDRAPUR II_10.123.29.229,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1029229105,NARENDRAPUR II_10.123.29.229,1.5,GE(O),-,Unbound,-,-,View,Add
1029229106,NARENDRAPUR II_10.123.29.229,1.6,GE(O),CTD_JDP_NARENDRAPUR II_10.123.29.229/1.6-CTD_HNV_KAMALGAJI_10.123.29.196/4.2,CPAN DL,-,2025-11-19,View,Add
1029229205,NARENDRAPUR II_10.123.29.229,2.5,GE(O),-,Unbound,-,-,View,Add
1029229206,NARENDRAPUR II_10.123.29.229,2.6,GE(O),-,Unbound,-,-,View,Add
